	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
33755	who lived on a moshav 45 minutes from Jerusalem	who	PRON	who	nsubj	client	a client	(14, 22)	('client', ',')	<p> LEAH CALLED ONE DAY , and explained she had a client who lived on a moshav 45 minutes from Jerusalem , and needed a place to labor before birthing in the hospital .
33756	who was ready to start pushing	who	PRON	who	nsubj	Shoshana	Shoshana	(17, 22)	(',', '.')	<p> Eliyahu left to find the registration desk , so I remained with Shoshana , who was ready to start pushing .
33757	which lay sewn on the floor	which	DET	which	nsubj	gear	his other wrestling gear	(17, 22)	(',', ',')	""" Nobody touches these shoes "" <p> Stubby picked up his other wrestling gear , which lay sewn on the floor , and angrily began to repack his faded , old canvas tote bag -- each item in its proper place ."
33758	who runs a chain of miniature - golf courses	who	PRON	who	nsubj	Johnny	Johnny	(5, 13)	(',', '!')	Dignity , said Johnny , who runs a chain of miniature-golf courses !
33759	who liked surprises	who	PRON	who	nsubj	man	a man	(13, 15)	('man', '.')	I was sorry to see this , since Harold was not a man who liked surprises .
33760	who tries to run everything	who	PRON	who	nsubj	type	the type	(4, 8)	('type', '.')	She 's the type who tries to run everything .
33761	who had buried three husbands and still thought of herself as a belle	who	PRON	who	nsubj	Lassiter	Shirley Lassiter	(12, 24)	(',', ';')	you never leave the Health Center ) ; Shirley Lassiter , who had buried three husbands and still thought of herself as a belle ; and Sam Hofstetter , a retired lawyer , deaf as a post .
33762	"which featured the young Frances """	which	DET	which	nsubj	War	the Second World War	(16, 21)	(',', 'hovering')	"Frances Mason read a reminiscence about her husband 's return from the Second World War , which featured the young Frances "" hovering ## upon the future "" in a porch swing as she "" listened for the tread of his beloved boot ."
33763	"who read ( loudly ) an account of Army life titled "" Somewhere in France"	who	PRON	who	nsubj	Hofstetter	Sam Hofstetter	(10, 24)	(',', '.')	""" The military theme was continued by Sam Hofstetter , who read ( loudly ) an account of Army life titled "" Somewhere in France ."
33764	whose story was not about herself	story	NOUN	whose	poss	one	the only one	(8, 13)	('one', '.')	""" Shirley Lassiter was the only one whose story was not about herself ."
33765	who had to choose between two men	who	PRON	who	nsubj	debutante	a voluptuous debutante	(17, 23)	('debutante', '.')	Instead it was fiction evidently modeled on a romance novel , for it involved a voluptuous debutante who had to choose between two men .
33766	who was in the oyster business	who	PRON	who	nsubj	father	My father	(3, 8)	(',', ',')	My father , who was in the oyster business , killed himself when I was six and Rose
33767	who took it up to her	who	PRON	who	nsubj	one	the one	(4, 9)	('one', ',')	I was the one who took it up to her , stepping so carefully up the dark back stair .
33768	who played the piano beautifully	who	PRON	who	nsubj	Richmond	Richmond	(13, 17)	(',', '.')	Nor will I forget young Miss Day from Richmond , a teacher , who played the piano beautifully .
33769	who pretended to be embarrassed but was not	who	PRON	who	nsubj	Mama	Mama	(22, 29)	(',', '.')	"I remember him on bended knee singing "" Daisy , Daisy , give me your answer , do "" to Mama , who pretended to be embarrassed but was not ."
33770	which sprang straight up from the desert like ap- # # paritions	which	DET	which	nsubj	mountains	great mountains	(3, 14)	(',', '.')	great mountains , which sprang straight up from the desert like ap- ## paritions .
33771	that strikes me now as terribly dangerous	that	DET	that	nsubj	game	a game	(19, 25)	('game', '.')	Only yesterday Rose and I were little girls , playing a game we loved so well , a game that strikes me now as terribly dangerous .
33772	which still retains the heat of the day , and let it warm us head to toe as we dream aloud of what the future holds	future	NOUN	which	nsubj	middle	the middle	(14, 39)	(',', '.')	Rose and I lie down flat in the middle of the road , which still retains the heat of the day , and let it warm us head to toe as we dream aloud of what the future holds .
33773	who loves me	who	PRON	who	nsubj	husband	a husband	(6, 8)	('husband', 'so')	@ of servants and a husband who loves me
33774	which I keep right beside me in bed	I	PRON	which	dobj	purse	my purse	(11, 18)	(',', ',')	I pull a $20.00 bill from my purse , which I keep right beside me in bed , and hand it to her .
33775	who reads next , or even Sam	who	PRON	who	nsubj	Elena	Elena	(10, 16)	(',', '.')	I simply ca n't hear Elena , or Joy , who reads next , or even Sam .
33776	who shrugs and smiles and says I should go ahead anyway	I	PRON	who	nsubj	Sam	Sam	(6, 16)	(',', '.')	""" I look at Sam , who shrugs and smiles and says I should go ahead anyway ."
