	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
0	which was the start of our fairytale < p > romance	which	DET	which	nsubj	something	something	(3, 13)	('something', '--')	I knew something which was the start of our fairytale <p> romance --
1	who look in fear < p > as the bay fills < p > with ships and terror	bay	PROPN	who	nsubj	those	those	(4, 21)	('those', '<')	> stories of those who look in fear <p> as the bay fills <p> with ships and terror
2	who raped < p > the fifteen - year old	who	PRON	who	nsubj	p	< p	(5, 14)	('saraceni', '?')	<p> or saraceni who raped <p> the fifteen-year old ?
3	who has crossed to one of the chairs	who	PRON	who	nsubj	JEANNE	( JEANNE	(7, 14)	(',', ',')	<p> ( JEANNE , who has crossed to one of the chairs , turns and looks at her .
4	who ignores her	who	PRON	who	nsubj	MARGARET	MARGARET	(6, 8)	(',', '.')	( She looks at MARGARET , who ignores her . )
5	who are fighting the wars and doing the raping and killing --	who	PRON	who	nsubj	men	men	(6, 17)	('men', '<')	Is n't it mostly men who are fighting the wars and doing the raping and killing -- <p> MARGARET <p
6	who have been at the school the longest	who	PRON	who	nsubj	children	the children	(14, 21)	('children', '.')	For example , this area here is the safety zone for the children who have been at the school the longest .
7	which would be , for a two - parent family	which	DET	which	nsubj	class	% middle class	(18, 27)	(',', ',')	Now , the breakdown by income is 30% low income , 40% middle class , which would be , for a two-parent family , over $50,000 a year ...
8	who has the basketball safety zone today	who	PRON	who	nsubj	group	the group	(8, 14)	('group', 'wants')	For instance , let 's say the group who has the basketball safety zone today wants to let another group join them to play ...
9	that will yield a bitter harvest of violence down the road	that	DET	that	nsubj	seeds	seeds	(24, 34)	('revenge', '.')	( Reading from her notes ) <p> Timeouts and detention just humiliate the child , sowing seeds of frustration and revenge that will yield a bitter harvest of violence down the road .
10	that is the source of their frustration and adjust the rules	that	DET	that	nsubj	inequality	the inequality	(20, 30)	('inequality', '.')	If we mothers do n't like what they 're doing , it 's up to us to locate the inequality that is the source of their frustration and adjust the rules .
11	which destroys the impulse toward social justice	which	DET	which	nsubj	blame	the blame	(14, 20)	(',', '.')	> When you discipline a child , he or she internalizes the blame , which destroys the impulse toward social justice .
12	who is n't armed	who	PRON	who	nsubj	boy	the only boy	(7, 10)	('boy', '!')	Now my son is the only boy who is n't armed !
13	that blind us to the true nature and individual motives behind these collective male acts	that	DET	that	nsubj	analyses	protectionist analyses	(20, 34)	('analyses', '.')	Women are encouraged by the media to ignore the gendered nature of military violence , adopting male-protectionist analyses that blind us to the true nature and individual motives behind these collective male acts .
14	who identified themselves with male - dominated political parties	who	PRON	who	nsubj	leaders	famous female political leaders	(20, 28)	('leaders', '.')	In The Rules of the Playground , the original women in the workshop are named after famous female political leaders who identified themselves with male-dominated political parties .
15	that is going on	that	DET	that	nsubj	brainwashing	the brainwashing	(27, 30)	('brainwashing', '.')	Shelley , the newcomer , is the only one not so-named , and also the only one to challenge the insanity of the brainwashing that is going on .
16	in which women train each other to enable male violence through censorship of ourselves	women	NOUN	which	pobj	ways	the ways	(8, 21)	('in', 'intentional')	I wanted to show the ways in which women train each other to enable male violence through censorship of ourselves , intentional disabling of our powers of observation , and a grotesque enthusiasm for methodologies specifically designed to perpetuate the violence .
17	that led to her street and paused	that	DET	that	nsubj	intersection	the intersection	(5, 11)	('intersection', '.')	She came to the intersection that led to her street and paused .
18	that led down from the trap door	that	DET	that	nsubj	ladder	The ladder	(2, 8)	('ladder', 'seemed')	The ladder that led down from the trap door seemed to go on forever .
19	that was ahead of her slowly at first	that	DET	that	nsubj	tunnel	the tunnel	(8, 15)	('tunnel', ',')	Xena began the journey down through the tunnel that was ahead of her slowly at first , but then picked up speed .
20	that seemed like it could house a giant	it	PRON	that	nsubj	area	a open area	(9, 16)	('area', '.')	She soon came to a wide-open area that seemed like it could house a giant .
21	that Xena knew there was a doorway in front of her	Xena	PROPN	that	advmod	thing	next thing	(13, 23)	('thing', '.')	There was the sound of cloth being torn , and next thing that Xena knew there was a doorway in front of her .
22	who possess wormholes like mistresses	who	PRON	who	nsubj	p	< p	(24, 28)	('>', '<')	<p> Wormhole to spit out curious aliens <p> and to renounce the sucking and stirring of scientists <p> who possess wormholes like mistresses <p>
23	that marks its boundary	that	DET	that	nsubj	surface	a spherical surface	(17, 20)	('surface', '.')	If I 've got this right , a black hole holds in place a spherical surface that marks its boundary .
24	who volunteers to watch the ageing of the universe in fast forward	who	PRON	who	nsubj	man	any man	(10, 21)	('man', ',')	Though how one can test the sanity of any man who volunteers to watch the ageing of the universe in fast forward , before dying himself , is beyond me .
25	on which we knew we could agree	we	PRON	which	pobj	things	talked , government things	(19, 25)	('on', 'Outside')	We talked about the weather , the government , the under-funding of universities , things on which we knew we could agree .
26	that followed our every move	that	DET	that	nsubj	cameras	the cameras	(19, 23)	('cameras', '.')	We tidied up , watched television , put the children to bed , tried not to mind the cameras that followed our every move .
27	"that happened "" before he was born"	that	DET	that	nsubj	things	things	(12, 18)	('things', '!')	"Just yesterday , he was speaking to the other children of things that happened "" before he was born !"
28	who own us like property	who	PRON	who	nsubj	people	the people	(4, 8)	('people', '.')	They are the people who own us like property .
29	that awaits me	that	DET	that	nsubj	fate	the fate	(14, 16)	('fate', '.')	Now I am here loaded with chains , and willing to suffer the fate that awaits me .
30	that appears to Nat Turner # Male slaves 1 and 2	that	DET	that	nsubj	vision	a vision	(23, 33)	('vision', '*')	Nat 's mother Old Bridget : Nat 's grandmother Benjamin Turner ; Nat 's first master # Female slave Spirit : a vision that appears to Nat Turner #Male slaves 1 and 2
31	stills makes that me weep uncontrollably	me	PRON	that	dobj	something	something	(16, 21)	('something', '.')	One day , the children were playing on the beach , when Sunny said something that stills makes me weep uncontrollably .
32	"which meant , """	which	DET	which	nsubj	TRANSLATOR	SUNNY TRANSLATOR	(5, 8)	('...', 'Look')	"SUNNY 'S TRANSLATOR : ... which meant , """
33	that destroyed your home	that	DET	that	nsubj	fire	a fire	(7, 10)	('fire', '.')	Your parents have perished in a fire that destroyed your home .
34	that had an eye - shaped window	that	DET	that	nsubj	tower	a mysterious tower	(14, 20)	('tower', '.')	: The Baudelaires arrived at a run-down house with a mysterious tower that had an eye-shaped window .
35	that shot out the car window and hit the track switcher	that	DET	that	nsubj	device	a device	(8, 18)	('device', '...')	In seconds , Violet had invented a device that shot out the car window and hit the track switcher ...
36	"which here means "" an expert in the study of snakes and reptiles"	which	DET	which	nsubj	word	a word	(3, 15)	('word', '.')	"a word which here means "" an expert in the study of snakes and reptiles . """
37	"which meant , "" It does n't even hurt when she bites me"	she	PRON	which	nsubj	TRANSLATOR	SUNNY TRANSLATOR	(5, 17)	('...', '!')	"SUNNY 'S TRANSLATOR : ... which meant , "" It does n't even hurt when she bites me ! """
38	who is it	it	PRON	who	attr	Children	Children	(2, 4)	(',', '?')	Children , who is it ?
39	"which here means "" not a very good idea"	which	DET	which	nsubj	description	a complicated description	(8, 16)	('description', ',')	"SNICKET 2 : ... a complicated description which here means "" not a very good idea , because it would soon be hit by a hurricane ."
40	which here means	which	DET	which	nsubj	expression	an expression	(3, 5)	('expression', ',')	"an expression which here means , "" Count Olaf dressed as a peg-legged fisherman . """
41	that snapped	that	DET	that	nsubj	beam	the beam	(8, 9)	('beam', '...')	Unless you want to know about the beam that snapped ...
42	that exploded	that	DET	that	nsubj	doorknobs	... or the doorknobs	(4, 5)	('doorknobs', '.')	... or the doorknobs that exploded .
43	"which meant , "" That was close"	That	DET	which	nsubj	TRANSLATOR	TRANSLATOR	(3, 9)	('...', '!')	"TRANSLATOR : ... which meant , "" That was close !"
44	"which here means "" he was holding baby Sunny in a cage hung from the top of his tower"	he	PRON	which	nsubj	phrase	a phrase	(3, 21)	('phrase', '.')	"a phrase which here means "" he was holding baby Sunny in a cage hung from the top of his tower ."
45	which burst into flames	which	DET	which	nsubj	certificate	the marriage certificate	(8, 11)	(',', '.')	He turned it on the marriage certificate , which burst into flames .
46	that they use like tiny saws to cut into skin	they	PRON	that	dobj	teeth	many small teeth	(7, 16)	('teeth', '.')	Jawed leeches have many small teeth that they use like tiny saws to cut into skin .
47	which went into his pouch	which	DET	which	nsubj	cards	the circuit cards	(8, 12)	(',', '.')	His tongs snapped out the circuit cards , which went into his pouch .
48	that jutted from rubble adjacent to the doorway	that	DET	that	nsubj	triangle	a sized metal triangle	(15, 22)	('triangle', '.')	""" John 's flashlight beam glared back , reflecting off a hand sized metal triangle that jutted from rubble adjacent to the doorway ."
49	that take up too much time and effort	that	DET	that	nsubj	precautions	unnecessary precautions	(9, 16)	('precautions', '.')	""" We 're not going to take unnecessary precautions that take up too much time and effort."
50	that came when the primary sun and red dwarf occupied opposite ends of the sky	sun	NOUN	that	nsubj	air	the still air	(11, 25)	('air', '.')	The ride was smooth , however , in the still air that came when the primary sun and red dwarf occupied opposite ends of the sky .
51	that I set it-	I	PRON	that	advmod	time	""" The first time"	(8, 11)	"('year', '""')"	""" The first time in a year that I set it-"
52	who was supervising the robots remotely	who	PRON	who	nsubj	Chuck	Chuck	(9, 14)	(',', '.')	"A compromise solution , "" said Chuck , who was supervising the robots remotely ."
53	that conducted the preliminary survey from orbit	that	DET	that	nsubj	ship	the ship	(16, 22)	('ship', ',')	""" ' Nefal "" is the name assigned to it by the captain of the ship that conducted the preliminary survey from orbit , "" Andrea replied , quietly ."
54	that got out of control	that	DET	that	nsubj	shooting	the shooting	(5, 9)	('shooting', ',')	""" It was the shooting that got out of control , "" John replied ."
55	which regulates hot water tank temperature , among other things	which	DET	which	nsubj	controller	compound system controller	(7, 16)	('-', '-')	The compound 's water system controller-which regulates hot water tank temperature , among other things-has a computer chip in it .
56	that ran almost flat at 99 percent for the week and then - beginning mere hours ago	that	DET	that	nsubj	trendline	a trendline	(13, 29)	('trendline', '-')	""" The presentation screen flickered , and displayed the graph : a trendline that ran almost flat at 99 percent for the week and then-beginning mere hours ago-nose-dived toward the lower right corner ."
57	that we had	we	PRON	that	dobj	information	the information	(10, 12)	('information', '.')	""" Chuck made the best decision given the information that we had . """
58	that 's too steep for the catwolves , where we could set up a new base and wait for rescue	we	PRON	that	nsubj	one	one	(4, 23)	('one', '.')	Perhaps there 's one that 's too steep for the catwolves , where we could set up a new base and wait for rescue .
59	that will help Chuck now	that	DET	that	nsubj	Lot	Lot	(2, 6)	('Lot', '.')	Lot that will help Chuck now .
60	that makes sense	that	DET	that	nsubj	explanation	the only explanation	(5, 7)	('explanation', ',')	That 's the only explanation that makes sense , Andrea .
61	who went there ,	who	PRON	who	nsubj	robots	the robots	(19, 22)	('robots', 'but')	""" If there were some on your clothing , they may have affected your alarm clock , the robots who went there , but not much more."
62	that literally eat through materials on a microscopic level	that	DET	that	nsubj	machines	machines	(9, 17)	('machines', '.')	"It was n't designed to protect against machines that literally eat through materials on a microscopic level . """
63	that met his	that	DET	that	nsubj	eyes	The eyes	(2, 4)	('eyes', 'were')	The eyes that met his were devoid of anger , and her normally coifed hair was in chaotic strands .
64	whose babbling drowned out the wildlife	babbling	NOUN	whose	poss	brook	a brook	(12, 17)	(',', '.')	They hacked with machetes , and came to a brook , whose babbling drowned out the wildlife.
65	that finally overwhelmed him	that	DET	that	nsubj	stress	accumulated stress	(27, 30)	('stress', '.')	He was hungry and thirsty and fatigued and sick in half a dozen ways , but it was the shock of abrupt release from accumulated stress that finally overwhelmed him .
66	"that read "" ROLLIN """	that	DET	that	nsubj	plate	Custom license plate	(3, 7)	('plate', '.')	"Custom license plate that read "" ROLLIN "" ."
67	that controlled the security system	that	DET	that	nsubj	jumper	the jumper	(11, 15)	('jumper', 'and')	He shined the light onto the board , found the jumper that controlled the security system and then the accessories slot for installing additional security options .
68	that was there to explore and have fun	that	DET	that	nsubj	side	the side	(21, 28)	('side', '.')	He was obeying his basic car programming , his safe driving protocol , and ignoring his truck side , the side that was there to explore and have fun .
69	that ran on lithium - ion packs	that	DET	that	nsubj	electric	A Polish electric	(3, 9)	('electric', ',')	A Polish electric that ran on lithium-ion packs
70	that had dominated the automobile industry at the time	that	DET	that	nsubj	idiom	the tech electronics idiom	(13, 21)	('idiom', ',')	Not trendy , not cool in the high-tech electronics idiom that had dominated the automobile industry at the time , yet it had found a huge following .
71	that wound about an eighth of a mile away from traffic to a pole barn warehouse	that	DET	that	nsubj	track	an overgrown gravel track	(7, 22)	('track', '.')	River Road onto an overgrown gravel track that wound about an eighth of a mile away from traffic to a pole barn warehouse .
72	who wanted a head start on their competitors	head	NOUN	who	nsubj	companies	automobile companies	(11, 18)	('companies', '.')	The AI designs were sold off to automobile and aerospace companies who wanted a head start on their competitors .
73	he advocated which should be installed in all cars	which	DET	which	nsubj	units	AI units	(13, 21)	(',', '.')	The Arena game system sprung from his testing of AI units , which he advocated should be installed in all cars .
74	which perched several monitors and sat down in front of the center console	which	DET	which	nsubj	desks	the desks	(8, 20)	('over', '.')	He walked to one of the desks over which perched several monitors and sat down in front of the center console .
75	that housed its CPU clung to the underside of the desk and dissipated heat through the furniture 's surface	that	DET	that	nsubj	disc	A translucent colored disc	(13, 31)	('-', '.')	A translucent smoke-colored disc-a slice of a cylinder-that housed its CPU clung to the underside of the desk and dissipated heat through the furniture 's surface .
76	that were heavier than necessary	that	DET	that	nsubj	vehicles	huge overblown vehicles	(13, 17)	('vehicles', ',')	The humans selected and custom-built huge , overpowered , overblown vehicles that were heavier than necessary , sluggish even with their exorbitant amounts of horsepower .
77	who changed the model of vehicle she played every time she logged in but never the make	she	PRON	who	nsubj	Chevy	a Chevy	(5, 21)	('Chevy', '.')	""" Roberta was a Chevy who changed the model of vehicle she played every time she logged in but never the make ."
78	that greeted him at the door of the Hummer	that	DET	that	nsubj	voice	the voice	(16, 24)	('voice', 'was')	not even Alan would be so bold as to steal government property-but the voice that greeted him at the door of the Hummer was gruff , exactly the kind of voice
79	that went along with the purchase of a behemoth like this	that	DET	that	nsubj	mentality	33;354;TOOLONG mentality	(4, 14)	('mentality', '.')	**33;354;TOOLONG mentality that went along with the purchase of a behemoth like this .
80	which currently run the government	which	DET	which	nsubj	forces	the forces	(13, 17)	('evil', '.')	"He 's a soldier for good , opposing the forces of evil which currently run the government . """
81	that controlled the driving mode	that	DET	that	nsubj	screen	the screen	(6, 10)	('screen', '.')	Then he looked at the screen that controlled the driving mode .
82	that sent a chill up Alan 's spine	that	DET	that	nsubj	something	something	(24, 31)	('something', '.')	Where before Rock had been gruff but still amiable , now there was something more vicious , more severe in its tone , something that sent a chill up Alan 's spine .
83	that would look like portals	that	DET	that	nsubj	gateways	simple gateways	(28, 32)	('gateways', '.')	It was simple enough , made from copies of small sections of each of the areas already accessible to everyone , then fastened together with simple gateways that would look like portals .
84	that could control their vehicles ,	that	DET	that	nsubj	units	dumb units	(3, 8)	('units', 'but')	dumb units that could control their vehicles , but not much else.
