	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
154804	who tell the story < p >	who	PRON	who	nsubj	>	p >	(6, 12)	('2-people', 'Mrs.')	p> Narrators 1 , 2-people who tell the story <p>
154805	that makes electricity is broken	that	DET	that	nsubj	machine	the machine	(4, 8)	('machine', '.')	Philo , the machine that makes electricity is broken .
154806	that fly through the air	that	DET	that	nsubj	pictures	pictures	(5, 9)	('pictures', '!')	Then I could make pictures that fly through the air !
154807	who use his idea	who	PRON	who	nsubj	People	People	(1, 4)	('People', 'must')	People who use his idea must pay .
154808	that changes what the camera sees into electrical signals	camera	NOUN	that	nsubj	tube	A glass tube	(3, 11)	('tube', '.')	A glass tube that changes what the camera sees into electrical signals .
154809	that worked	that	DET	that	nsubj	iconoscope	an iconoscope	(9, 10)	('iconoscope', '!')	That 's because no one could build an iconoscope that worked !
154810	that stretches from the top of the heap all the way down to the sub basement	that	DET	that	nsubj	bond	Some unique bond	(5, 20)	('unfulfillment', '.')	"Some unique bond of unfulfillment that stretches from the top of the heap all the way down to the sub basement . """
154811	that stops her cold	that	DET	that	nsubj	look	a look	(11, 14)	('look', '.')	But I jerk my head up and give her a look that stops her cold .
154812	who gets too flustered to give the right answer even when he knows it	he	PRON	who	nsubj	kid	The kid	(2, 15)	('kid', '.')	The kid who gets too flustered to give the right answer even when he knows it .
154813	who lives in Chicago , Illinois	who	PRON	who	nsubj	cutter	a marble cutter	(19, 24)	('cutter', '.')	A day later , George and the stone are at the studio of Edward Burgharat , a marble cutter who lives in Chicago , Illinois .
154814	that 's more than 10 feet long	that	DET	that	nsubj	giant	a stone giant	(9, 15)	('giant', '.')	Days later , George stares at a stone giant that 's more than 10 feet long .
154815	who pay to see Barnum 's giant	who	PRON	who	nsubj	those	those	(6, 12)	('those', '?')	What are your feelings about those who pay to see Barnum 's giant ?
154816	that shimmered the grass	that	DET	that	nsubj	sheen	a silvered sheen	(11, 14)	('sheen', '.')	Only the moon cast light , a cool , silvered sheen that shimmered the grass .
154817	who were thirteen	who	PRON	who	nsubj	twins	even the Nguyen twins	(28, 30)	(',', '.')	She held the cane out for everyone to see , and soon the other children busied themselves finding more of the sweets , even the Nguyen twins , who were thirteen .
154818	who portrayed herself as the most devastatingly beautiful woman in the known universe	who	PRON	who	nsubj	Ashe	twofaced Jeena Ashe	(14, 26)	('Ashe', '.')	At least he was not as flamboyant in his changes as twofaced Jeena Ashe who portrayed herself as the most devastatingly beautiful woman in the known universe .
154819	that came to mind	that	DET	that	nsubj	motion	the wonderful old Italian hand motion	(9, 12)	('motion', ',')	"Instead of using the wonderful old Italian hand motion that came to mind , I laboriously signed in response , fingerspelling the words with no ASL equivalents . """
154820	that would save Earth	that	DET	that	nsubj	idea	the idea	(22, 25)	('idea', '.')	Opening my mental floodgates to all ideas , no matter how far-fetched , I began searching for the idea that would save Earth .
154821	that comes with maturity	that	DET	that	nsubj	restraint	the restraint	(10, 13)	('restraint', ',')	Voyeurism is present in us all ; without the restraint that comes with maturity , I saw more than any child could possibly understand .
154822	who are capable of traveling the astral plane	who	PRON	who	nsubj	others	others	(8, 15)	('others', '.')	Jeena does more than anyone to find others who are capable of traveling the astral plane .
154823	who were about to get a potentially lethal dose of radiation	who	PRON	who	nsubj	cosmonauts	the cosmonauts	(8, 18)	('cosmonauts', '.')	I could n't help thinking of the cosmonauts who were about to get a potentially lethal dose of radiation .
154824	who had refused to learn a new language this time	who	PRON	who	nsubj	Americans	the Americans	(7, 16)	('Americans', '.')	"it was n't only the Americans who had refused to learn a new language this time . """
154825	which I turned down faster than a flick	I	PRON	which	dobj	offer	me a job offer	(13, 20)	(',', '.')	Five years ago , they had made me a job offer , which I turned down faster than a flick .
154826	that kept track of us civilians	that	DET	that	nsubj	scouts	the military scouts	(6, 11)	('scouts', ',')	So these were the military scouts that kept track of us civilians , and they were looking to her for direction .
154827	who takes care of me while I ' m away	I	PRON	who	nsubj	Widmer	Grove Widmer	(23, 32)	(',', '.')	I bumped the safety down a few notches then opted to spend a fraction of a second looking in on Grove Widmer , who takes care of me while I 'm away .
154828	who was out of step	who	PRON	who	nsubj	gumby	a gumby	(6, 10)	('gumby', '.')	I matched velocities with a gumby who was out of step .
154829	that spread	that	DET	that	nsubj	joy	my joy	(16, 17)	('joy', '.')	This time when we returned to the near-solid band , it was my joy that spread .
