	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
55708	that happen	that	DET	that	nsubj	Things	Things	(2, 3)	('...', '.')	Things ... that happen .
55709	that go forward and backward in time	that	DET	that	nsubj	waves	waves	(12, 18)	('waves', '?')	"There are these weird interpretations , like the Transactional one with waves that go forward and backward in time ? """
55710	who looked like me sitting at my table	who	PRON	who	nsubj	woman	a woman	(10, 17)	('woman', ',')	While ducking down , I thought I saw a woman who looked like me sitting at my table , but when I looked back she was gone .
55711	that claimed my family	that	DET	that	nsubj	accident	the accident	(16, 19)	('accident', '.')	I had n't ridden in a car for almost a year - not since the accident that claimed my family .
55712	that came out of Jacob 's mouth when he tried to speak	he	PRON	that	nsubj	bubble	the bubble	(31, 42)	('blood', ',')	Unwillingly , my mind went back to Emma 's fine hair matted to her little head with blood , to Isabella 's dulled unmoving eyes , and the bubble of blood that came out of Jacob 's mouth when he tried to speak , right before he never tried to do anything again .
55713	that went back in time	that	DET	that	nsubj	waves	waves	(8, 12)	('waves', ',')	I concentrated with all my might on waves that went back in time , and then I felt a Herculean wrench .
55714	that is as close as he gets to apologetic	he	PRON	that	nsubj	tone	the tone	(9, 17)	('tone', '.')	"Right , "" J. P. says in the tone that is as close as he gets to apologetic ."
55715	who uses it	who	PRON	who	nsubj	anyone	anyone	(7, 9)	('anyone', 'will')	Once the elevator is buUt , anyone who uses it will be , in the words of Robert A. Heinlein , halfway to anywhere in the solar system .
55716	that is n't false exactly	that	DET	that	nsubj	something	something	(11, 15)	('it', ',')	P. 's voice , and there is something else about it that is n't false exactly , but sounds definitely odd .
55717	which makes sense	which	DET	which	nsubj	rocket	A Japanese rocket	(4, 6)	(',', '.')	A Japanese rocket , which makes sense .
55718	which is unfolding as it recedes from the asteroid	it	PRON	which	nsubj	sail	a solar sail	(9, 17)	(',', '.')	""" Ichiban has launched a solar sail , which is unfolding as it recedes from the asteroid ."
55719	that looks like the robots in some cartoons I used to watch	I	PRON	that	nsubj	robot	a robot	(11, 22)	('tall', '.')	"Excuse me , it is a robot about three meters tall that looks like the robots in some cartoons I used to watch . """
55720	which seems to have been monitoring the unfolding of the solar sail	which	DET	which	nsubj	robot	The robot	(3, 14)	(',', ',')	The robot , which seems to have been monitoring the unfolding of the solar sail , turns and confronts me .
55721	which was having troubles with its proposed life support system anyway	which	DET	which	nsubj	Ichiban	Ichiban	(3, 13)	(',', ',')	Ichiban , which was having troubles with its proposed life support system anyway , apparently decided to do away with it , make everything payload , and have the Diet declare their robot a citizen .
55722	that would indicate one of the more primitive primates	that	DET	that	nsubj	hair	body hair	(3, 11)	('hair', '.')	body hair that would indicate one of the more primitive primates .
55723	who lands on 2009	who	PRON	who	nsubj	contestant	the first contestant	(5, 8)	('contestant', 'AP')	It is the first contestant who lands on 2009
55724	that perfects title in the asteroid	that	DET	that	nsubj	returns	returns	(10, 15)	('Earth', '.')	AP V improves it , and returns safely to Earth that perfects title in the asteroid .
55725	that scrolls down the screen	that	DET	that	nsubj	list	the long list	(7, 11)	('list', '.')	I choose poker from the long list that scrolls down the screen .
55726	who believe in their own luck and think they can bluff their way tiirough life	they	PRON	who	nsubj	ones	the ones	(9, 23)	('ones', '.')	""" Then there are the plungers , the ones who believe in their own luck and think they can bluff their way tiirough life ."
55727	that made a strong hand nearly unbeatable	hand	NOUN	that	nsubj	card	a card	(7, 13)	('card', '.')	he had just picked up a card that made a strong hand nearly unbeatable .
55728	which may have ac- crued to you in 2009	which	DET	which	nsubj	assign	assign	(26, 34)	('rights', 'AP1')	If , however , you were to resign from Ichiban , accept employment with the Beanstalk Development Corporation , and assign any and all rights which may have ac- crued to you in 2009
55729	that makes me think I am only a secondary audience	I	PRON	that	nsubj	something	something	(16, 25)	('phrasing', '.')	"Ishikawa "" s English is flawless , but there is something about the tone and phrasing that makes me think I am only a secondary audience ."
55730	that would reduce it to the equivalent of drooling idiocy	that	DET	that	nsubj	conditions	conditions	(20, 29)	('conditions', '.')	""" If you were concerned about your "" employee , "" you would not have subjected it to conditions that would reduce it to the equivalent of drooling idiocy ."
55731	that destroys the star while simultaneously reseeding the starlanes with heavy elements	that	DET	that	nsubj	explosion	the explosion	(32, 43)	('explosion', '.')	Once or twice a century , when a massive star ripens to death , a few hundred thousand of the galaxy 's most devoted , superrich tarindhus gather to witness the explosion that destroys the star while simultaneously reseeding the starlanes with heavy elements .
55732	that manufactured knotted anomalies	that	DET	that	nsubj	moons	moons	(7, 10)	('moons', '.')	The Samraatju owned a flock of moons that manufactured knotted anomalies .
55733	that flowed over his narrow shoulders and down his chest	that	DET	that	nsubj	hair	long black hair	(16, 25)	('hair', '.')	He was only a little younger than her , and beautiful , with long black hair that flowed over his narrow shoulders and down his chest .
55734	who also wore a tarindhu wheel - of - stars pendant	who	PRON	who	nsubj	brother	the brother	(14, 24)	(',', ',')	The tall sister studiously avoided looking at Kazo , while the brother , who also wore a tarindhu wheel-of-stars pendant , stared coldly at Kazo .
55735	that is	that	DET	that	nsubj	all	all	(26, 27)	('all', ',')	""" The cosmos inhabited by humans and stars , "" began Haisho 's lecture aboard the Umialik , "" is but a thin slice of all that is , a brane tucked between tiers of a universe richer than we can see ."
55736	that expands and contracts the blister	that	DET	that	nsubj	waist	waist	(5, 10)	('waist', '.')	"@ strapped to tiieir waist that expands and contracts the blister . """
55737	that doubled as a comm link	that	DET	that	nsubj	beacon	the bright neutrino beacon	(31, 36)	('beacon', '.')	In the ghostly realm of brane Misters the star was a pale glowing flux of neutrinos , while each brane blister appeared as a faint shadow and the bright neutrino beacon that doubled as a comm link .
55738	who grabbed Kazo 's arm and hauled her to one side , away from the other	who	PRON	who	nsubj	Haisho	Haisho	(8, 23)	(',', '.')	Everyone was frozen , except for Haisho , who grabbed Kazo 's arm and hauled her to one side , away from the other .
55739	who assaults the flesh of his flesh	who	PRON	who	nsubj	someone	someone	(9, 15)	('someone', '.')	But he will also visit his wrath upon someone who assaults the flesh of his flesh .
55740	that falls from a high desert	that	DET	that	nsubj	wind	a hot wind	(51, 56)	('wind', ',')	""" Because we can do so much more with our moudis than speak , "" she said , adding , "" and here is the proof , "" and she put her mouth on Ms , and it tasted like sweet wine , and Ms breath felt like a hot wind that falls from a high desert , and the darkness swam around @ @"
55741	which continually surprised Kazo	which	DET	which	nsubj	sister	even his youngest sister	(19, 22)	(',', ':')	He was gentle , much gentler than any of his siblings , even his youngest sister Kushri , which continually surprised Kazo
55742	who threatened to devour the universe , or at least a planet or two	who	PRON	who	nsubj	wolf	a wolf	(6, 19)	(',', '.')	""" Fenris was a wolf , who threatened to devour the universe , or at least a planet or two ."
55743	who went back to staring at his breakfast	who	PRON	who	nsubj	Majnu	Majnu	(5, 12)	(',', '.')	"He grinned at Majnu , who went back to staring at his breakfast . """
55744	all of which thread together	all	DET	which	pobj	loss	loss	(17, 21)	('of', 'Well')	You know nothing of love , or of pain , of loss and grief , all of which thread together .
55745	that glowed as nuclei within collided and broke apart	that	DET	that	nsubj	streams	streams	(12, 20)	('gas', '.')	He threaded his way up over and below streams of dense gas that glowed as nuclei within collided and broke apart .
55746	who spoke to Kazo	who	PRON	who	nsubj	one	The only one	(3, 6)	('one', 'was')	The only one who spoke to Kazo was Apilak .
55747	who bounced off the edge of the hatchway and collided with Gojraan	who	PRON	who	nsubj	Majnu	Majnu	(27, 38)	(',', '.')	The Samraatju poured in through the hatchway , pulling themselves along handholds in microgravity : Sundshri and Kushri first , then Gojraan , followed by Majnu , who bounced off the edge of the hatchway and collided with Gojraan .
55748	who flushed and ducked his head , ashamed of his clumsiness	who	PRON	who	nsubj	Majnu	Majnu	(6, 16)	(',', '.')	Rajraan merely glanced at Majnu , who flushed and ducked his head , ashamed of his clumsiness .
55749	whom you tormented	you	PRON	whom	dobj	nanny	your nanny	(7, 9)	(',', '?')	Or your nanny long ago , whom you tormented ?
55750	that swam in a broad yellow - green sea	that	DET	that	nsubj	flux	dull violent flux	(18, 26)	('flux', '.')	Kazo began to fall into the sun , toward the core , a fist of dull violent flux that swam in a broad yellow-green sea .
55751	that burned on the surface of the star 's iron core	that	DET	that	nsubj	fire	the final , tremulous violet fire	(12, 22)	('fire', '.')	Their speed dropped as they approached the final , tremulous violet fire that burned on the surface of the star 's iron core .
55752	that surrounded her	that	DET	that	nsubj	sea	the sea	(13, 15)	('brightness', '.')	There was no sign of any other humans in the sea of brightness that surrounded her .
55753	that Apilak sent	Apilak	PROPN	that	dobj	drone	Just a clone drone	(6, 8)	('drone', ',')	""" Just a clone drone that Apilak sent , an excuse for us to scatter After the supernova , Father will think you two are dead and you will be free ."
55754	which grew thicker with each passing moment	which	DET	which	nsubj	flux	the dense flux	(18, 24)	(',', '.')	A few moments later the spark of Kushri 's beacon was swallowed up in the dense flux , which grew thicker with each passing moment .
55755	that we do today	we	PRON	that	dobj	way	the exact same way	(11, 14)	('way', ',')	They expressed and manipulated numbers in the exact same way that we do today , using a place-value number system .
55756	that we use today	we	PRON	that	dobj	system	the Arabic numbering system	(19, 22)	('system', 'was')	""" This discovery was made in Central America more than a thousand years before the Arabic numbering system that we use today was developed and came into use in Europe ."
55757	who brought writing and mathematics to Mesoamerica	who	PRON	who	nsubj	god	the feathered snake god	(27, 33)	('god', '.')	"It represents the diamond pattern found on the backs of local rattlesnakes and symbolizes Kukulkan , known to the Aztecs as Quetzalcoatl , the feathered snake god who brought writing and mathematics to Mesoamerica . """
55758	who were nodding their heads in time with the song	who	PRON	who	nsubj	clutch	his clutch	(11, 20)	(',', '.')	He stamped his feet and turned toward his clutch , who were nodding their heads in time with the song .
55759	who are right in their hearts	who	PRON	who	nsubj	people	Only people	(2, 7)	('people', 'will')	Only people who are right in their hearts will be left .
55760	that held the tools of the day - keeper 's trade	that	DET	that	nsubj	bag	the leather bag	(13, 23)	('bag', '.')	On finishing the prayer , Toms opened his baraj , the leather bag that held the tools of the day-keeper 's trade .
55761	who speaks	who	PRON	who	nsubj	E	Thirteen E	(10, 11)	"('""', ',')"	"Now , it is the Lord of Thirteen E "" who speaks , you are guided on this road and will walk there in clear light . """
55762	that could become meteors , arrow stars	that	DET	that	nsubj	things	things	(18, 24)	('things', '.')	I 'll be looking for nearearth asteroids with the most powerful radar on earth , finding things that could become meteors , arrow stars .
55763	who thought your mammal study inconsequential when you did it	you	PRON	who	nsubj	one	one	(4, 13)	('one', ',')	""" I was one who thought your mammal study inconsequential when you did it , and now it brings our clutch this honor ."
55764	that sent the message and deal first with the people there	that	DET	that	nsubj	facility	the facility	(6, 16)	('facility', '.')	He would appear at the facility that sent the message and deal first with the people there .
55765	who liked to joke	who	PRON	who	nsubj	ones	the ones	(16, 19)	('ones', ',')	So much so , he felt it alienated the less prolific research associates , the ones who liked to joke , in his presence , about ethnic diversity hires .
55766	which ended in a small thing being eaten	which	DET	which	nsubj	hunt	a hunt	(14, 21)	(',', ',')	It crossed the shape formed by its previous path and pantomimed a hunt , which ended in a small thing being eaten , then seemed to shrug with its arms out .
55767	who had the skills to travel across the universe	who	PRON	who	nsubj	creature	this creature	(4, 12)	(',', ',')	If this creature , who had the skills to travel across the universe , wanted to eat him , there was no sense in trying to run or hide .
55768	that sounded almost like Cheorka	that	DET	that	nsubj	stops	glottal stops	(7, 11)	('stops', '.')	There were consonant clusters and glottal stops that sounded almost like Cheorka .
55769	"who asked , "" What was the language"	language	NOUN	who	nsubj	Aranead	Aranead	(10, 17)	(',', '?')	"He flipped the phone shut and looked at Aranead , who asked , "" What was the language ? """
