	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
8662	which allegedly simulated the intellect	which	DET	which	nsubj	act	an act	(24, 28)	"('""', '.')"	"Woozel announced , informing his friend he 'd rolled forward over the top of his head , an act called "" cresting "" which allegedly simulated the intellect ."
8663	at which it derived ever more pleasure as it 's thinking became ever more complex	thinking	NOUN	which	pobj	point	the point	(15, 29)	('at', 'In')	The wemalung brain had evolved in its love of reasoning to the point at which it derived ever more pleasure as it 's thinking became ever more complex .
8664	that goes unnoticed unless it is not done	that	DET	that	nsubj	work	work	(3, 10)	('work', '.')	I am work that goes unnoticed unless it is not done .
8665	that people connect with the terms housewife	people	NOUN	that	dobj	status	the low status	(6, 12)	('status', ',')	Think of the low status that people connect with the terms housewife , and more recently , househusband .
8666	nobody talks that about	nobody	PRON	that	pobj	things	the simple things	(20, 23)	('things', 'but')	Sometimes those jobs make me feel grounded , a part of the essence of life , the simple things that nobody talks about
8667	which include them	which	DET	which	nsubj	theories	theories	(27, 29)	('theories', '.')	Better still , go out and talk to women at home with children and women in the workplace , all sorts of women , and write theories which include them .
8668	which work for you	which	DET	which	nsubj	choices	choices	(2, 5)	('choices', ',')	Make choices which work for you , appreciate diversity among women , and respect the life choices they make .
8669	you have that to know	you	PRON	that	dobj	part	the sad part	(7, 11)	('part', '.')	Now this is the sad part that you have to know .
8670	that restricted her breathing	that	DET	that	nsubj	something	something	(9, 12)	('dress', '.')	Inhaling deeply , she noticed something under her dress that restricted her breathing .
8671	that turned me into an intellectual heavyweight	that	DET	that	nsubj	configuration	a configuration	(7, 13)	('configuration', ',')	They gerrymandered my genes into a configuration that turned me into an intellectual heavyweight , a synapse-stuffed savant , and a real wise guy .
8672	that led to our unfortunate incarceration	that	DET	that	nsubj	escape	the strange escape	(5, 10)	('escape', '.')	He inspired the strange escape that led to our unfortunate incarceration .
8673	that makes them think harder	them	PRON	that	nsubj	one	one	(2, 6)	('one', '.')	take one that makes them think harder .
8674	that gives you so much mental power	that	DET	that	nsubj	pill	a pill	(9, 15)	('pill', 'you')	Hey , buddy , want to buy a pill that gives you so much mental power
8675	that causes you to chuck your PlayStation2 and join a weekend discussion group on the U.S. domestic regulatory ramifications of Swedish economic policy	you	PRON	that	nsubj	booster	a little brain booster	(7, 29)	('booster', '?')	How about swallowing a little brain booster that causes you to chuck your PlayStation2 and join a weekend discussion group on the U.S. domestic regulatory ramifications of Swedish economic policy ?
8676	who had begun to groom himself an awful lot for a hairless rat	who	PRON	who	nsubj	Ersk	Ersk	(3, 15)	(',', ',')	"Ersk , who had begun to groom himself an awful lot for a hairless rat , saw me sulking and shuffled over to cheer me up . """
8677	who shave their heads as a fashion statement	who	PRON	who	nsubj	musicians	musicians	(12, 19)	('musicians', '?')	And how about all those male athletes , actors , and musicians who shave their heads as a fashion statement ?
