	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
64120	behind which he crouched	he	PRON	which	pobj	boulders	the boulders	(8, 11)	('behind', 'as')	Rock chips flew from the boulders behind which he crouched , as bullets screamed past .
64121	in which Travis knew himself to truly be	himself	PRON	which	pobj	tank	the immersion tank	(13, 20)	('in', 'His')	Here was far more real than the sensory-immersion tank in which Travis knew himself to truly be .
64122	who killed him	who	PRON	who	nsubj	sniper	the sniper	(5, 7)	('sniper', '.')	Travis never saw the sniper who killed him .
64123	that Travis had to look away	Travis	PROPN	that	mark	graphic	graphic	(3, 8)	('-', '.')	graphic - that Travis had to look away .
64124	who stood behind a tree today	who	PRON	who	nsubj	sniper	The sniper	(2, 7)	('sniper', 'would')	The sniper who stood behind a tree today would almost certainly hide standing behind a different tree the next time he played .
64125	who must come to investigate	who	PRON	who	nsubj	enemies	the enemies	(12, 16)	('enemies', '.')	And there , an even better spot for waylaying the enemies who must come to investigate .
64126	that ran from his torn cheek and down his neck	that	DET	that	nsubj	rivulet	the rivulet	(9, 18)	('blood', ',')	Apart from some bruises and the rivulet of blood that ran from his torn cheek and down his neck , the prisoner looked familiar .
64127	that he remembered only imperfectly	he	PRON	that	mark	much	much	(4, 8)	('much', '.')	There was much that he remembered only imperfectly .
64128	who would seek to kill him	who	PRON	who	nsubj	players	players	(10, 15)	('players', '.')	Target for an ever-growing legion of players who would seek to kill him .
64129	that forged true heroes	that	DET	that	nsubj	moment	moment	(5, 8)	('moment', '.')	The type of defining moment that forged true heroes .
64130	that had occupied a place of pride in his mother 's house	that	DET	that	nsubj	bowl	an antique Venetian glass bowl	(12, 23)	('bowl', '.')	The subde shading reminded him of an antique Venetian glass bowl that had occupied a place of pride in his mother 's house .
64131	who had chartered the boat	who	PRON	who	nsubj	scientists	the scientists	(3, 7)	('scientists', 'had')	the scientists who had chartered the boat had no need for Joe 's services , but Captain Eddie had brought him along in order to charge for an additional crewmember .
64132	that were still productive	that	DET	that	nsubj	areas	the areas	(19, 22)	('areas', 'were')	the dead zone of deoxygenated water off the mouth of the Mississippi was growing alarmingly , and the areas that were still productive were being rapidly overfished .
64133	that looked as beautiful as Venetian glass , and as lifeless	that	DET	that	nsubj	thousands	thousands	(10, 20)	('ocean', '.')	The result was thousands of square miles of open ocean that looked as beautiful as Venetian glass , and as lifeless .
64134	that had lost money	that	DET	that	nsubj	trip	a weeklong trawling trip	(19, 22)	('trip', '.')	The Mtss TiIUe had been in the next slip over , hosing out after a weeklong trawling trip that had lost money .
64135	that led to the radar and fish finder	that	DET	that	nsubj	conduits	the overhead electrical conduits	(16, 23)	('conduits', '.')	When Dennis came in , Eddie was touching up the paint on the overhead electrical conduits that led to the radar and fish finder .
64136	that worked at the local coffee shop	that	DET	that	nsubj	thing	a sweet little thing	(33, 39)	('thing', '.')	""" My daddy was half set to marry Gertrude of the Courville sisters , richest family in Jefferson Parish back then , but he always had an eye for a sweet little thing that worked at the local coffee shop ."
64137	who loaned my daddy the money to buy the boat	who	PRON	who	nsubj	one	the one	(7, 16)	('one', ',')	Since he had also been the one who loaned my daddy the money to buy the boat , he was quite upset , and he went down to the docks with two of her brothers
64138	that makes them stop	them	PRON	that	nsubj	data	the data	(13, 16)	('data', ',')	and he makes his measurements , but in case he collects the data that makes them stop , I would do Ulis for free .
64139	that twitched with each movement	that	DET	that	nsubj	pen	a pen	(13, 17)	('pen', '.')	Captain Eddie flipped a switch , and paper started scrolling past a pen that twitched with each movement .
64140	that winch	that	DET	that	nsubj	servicin	servicin	(5, 6)	"(""'"", '?')"	"Lonesome Joe done servicin ' that winch ? """
64141	who captured the image on his video camera	who	PRON	who	nsubj	student	the graduate student	(23, 30)	('student', '.')	""" The image on the screen was circling the place where the hammock hit bottom , watched by Coolidge and the graduate student who captured the image on his video camera ."
64142	that can live in this	that	DET	that	nsubj	species	An unknown species	(4, 8)	('species', '...')	"An unknown species that can live in this ... "" He broke off , then asked Captain Eddie , "" What is its depth now ? """
64143	that had broken the surface	that	DET	that	nsubj	fins	the fins	(12, 16)	('fins', 'were')	This time its movements were erratic , as though the fins that had broken the surface were paralyzed .
64144	which probably got something	which	DET	which	nsubj	recorder	the chart recorder	(7, 10)	(',', '.')	Four counting the chart recorder , which probably got something .
64145	that got away	that	DET	that	nsubj	one	the one	(10, 12)	('one', '.')	Plus the most amazing fishing story ever about the one that got away .
64146	that happened a long time ago	that	DET	that	nsubj	one	one	(8, 13)	('one', '.')	""" Another evolution on this Earth , one that happened a long time ago ."
