	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
46360	who gets superpowers and becomes Titan Sign up for the character you 're going to read	you	PRON	who	nsubj	cameraman	a cameraman	(22, 37)	('cameraman', '.')	Megamind , a supervillain Minion , his sidekick Metro Man , a superhero Roxanne Ritchi , a reporter Hal , a cameraman who gets superpowers and becomes Titan Sign up for the character you 're going to read .
46361	who cares for us with his super heart	who	PRON	who	nsubj	man	a super man	(14, 21)	('man', '!')	We 're here to honor our city 's greatest superhero - a super man who cares for us with his super heart !
46362	who dares challenge my evil	who	PRON	who	nsubj	hero	a new hero	(8, 12)	('hero', '.')	: I hear there is a new hero who dares challenge my evil .
46363	who loves baseball FLORENCE	who	PRON	who	nsubj	girl	a old girl	(8, 11)	('girl', ':')	GEORGIA BASKIN : a 14-year-old girl who loves baseball FLORENCE :
46364	who loves baseball	who	PRON	who	nsubj	one	the one	(5, 7)	('one', '.')	I 'm the one who loves baseball .
46365	that Victor is in jail	Victor	PROPN	that	mark	text	a text	(5, 9)	('text', '.')	Lindy gets a text that Victor is in jail .
46366	who may be even worse at basketball than I am	I	PRON	who	nsubj	guys	the two guys	(8, 17)	('guys', '.')	""" You are the only two guys who may be even worse at basketball than I am . """
46367	that had Ucked Jerry 's two - year - old cheeks	that	DET	that	nsubj	tongue	the long tongue	(72, 82)	('tongue', 'fell')	Jerry lifted Rex in his arms , refusing any assistance , and carried the old dog to the car , there to lovingly hold him close and dear all the way to the veterinarian , releasing his embrace only when they were about to give Rex his final injection , holding his best friend 's head as his eyes closed , his breath slowed , stopped , and the long tongue that had Ucked Jerry 's two-year-old cheeks fell from his open mouth .
46368	whose details consisted of a sock left in a dryer	details	NOUN	whose	poss	stories	a thousand stories	(11, 20)	('stories', ',')	What happened next was the plot of a thousand stories whose details consisted of a sock left in a dryer , a cute smile , conversation over coffee , a brief fling , some disappointment , the inevitable breakup , and finally having Maria as one of his wife 's bridesmaids two years later .
46369	who started on their own independent journey down life 's path	who	PRON	who	nsubj	adults	decent adults	(24, 34)	('adults', '.')	Children followed and , although they gave Jerry more trouble than he felt he deserved , they eventually turned out to be decent adults who started on their own independent journey down life 's path .
46370	that snaked through the bedclothes	that	DET	that	nsubj	tube	the feeding tube	(30, 34)	('devices', '.')	The drugs took the edge off the pain from the cancer and isolated him from an awareness of the feeding tube , catheter , transfusion , and various monitoring devices that snaked through the bedclothes .
46371	who were busy debating when the caterer was going to serve the food and whether they could sneak a sip of beer when their parents were n't looking	parents	NOUN	who	nsubj	grandkids	the great - grandkids	(11, 38)	('grandkids', '.')	*25;268;TOOLONG played between the legs of the great-grandkids who were busy debating when the caterer was going to serve the food and whether they could sneak a sip of beer when their parents were n't looking .
46372	who had begun staying near the campfire	who	PRON	who	nsubj	incrippi	the small incrippi	(6, 12)	('incrippi', '.')	scraps to the small incrippi who had begun staying near the campfire .
46373	that had chosen to return to the sea survive	that	DET	that	nsubj	creatures	those creatures	(9, 17)	('creatures', '.')	Only in the chill depths did those creatures that had chosen to return to the sea survive .
46374	whom she knew only because they shared the same school	they	PRON	whom	dobj	age	the same age	(19, 28)	('age', '.')	Uttle shy , a Uttle giggly , nervous at being approached by a boy of the same age whom she knew only because they shared the same school .
46375	who thought this one not just lame , but also cute	one	NOUN	who	nsubj	ons	clumsy come - ons	(15, 25)	('ons', '.')	Instead , Betty seemed amused , the veteran of decades of clumsy come-ons who thought this one not just lame , but also cute .
46376	who trained me	who	PRON	who	nsubj	people	The people	(2, 4)	('people', 'usually')	"The people who trained me usually called it ' self . ' """
46377	who listens to girls in 1964	who	PRON	who	nsubj	Guess	Guess	(1, 6)	('Guess', '?')	Guess who listens to girls in 1964 ?
46378	that leaches into the human food supply	that	DET	that	nsubj	stuff	the stuff	(4, 10)	('stuff', ',')	Most of the stuff that leaches into the human food supply , or is deliberately introduced into it because if s thought harmless or even beneficial , comes later .
46379	that had developed immunity to every countermeasure due to clumsy overuse of those countermeasures	that	DET	that	nsubj	viruses	viruses	(10, 23)	('viruses', '.')	Aggravating the assault on mankind were bacteria and viruses that had developed immunity to every countermeasure due to clumsy overuse of those countermeasures .
46380	who sat at the other side of the room and was almost cringing away from her sample of mercury	who	PRON	who	nsubj	Betty	Betty	(11, 29)	(',', '.')	This was one of the classes he shared with Betty , who sat at the other side of the room and was almost cringing away from her sample of mercury .
46381	which would roU around and merge back into big globules	which	DET	which	nsubj	globules	little globules	(31, 40)	('globules', '.')	The other kids were laughing and playing with the stuff , dipping pennies into it to see the copper acquire a silvery coating , and breaking it into little globules which would roU around and merge back into big globules .
46382	that support what you say	you	PRON	that	nsubj	studies	scientific studies	(5, 9)	('studies', ',')	If there are scientific studies that support what you say , and you want some extra credit , why do n't you two produce a paper on the topic ?
46383	that works like the Gestapo	that	DET	that	nsubj	patrol	A time patrol	(3, 7)	('patrol', '.')	"A time patrol that works like the Gestapo . """
46384	who knows how to get a girl 's bra off	who	PRON	who	nsubj	boy	the only boy	(11, 20)	('school', '.')	Especially since you 're probably the only boy in our school who knows how to get a girl 's bra off .
46385	that are taking place over the next few years	that	DET	that	nsubj	events	events	(6, 14)	('events', '.')	We ca n't alter events that are taking place over the next few years .
46386	that existed here and also	that	DET	that	nsubj	place	a place	(40, 44)	('place', 'as')	They stood there , holding each other as if sharing their strength , until the lights blinked to indicate the library was about to close , then Jim walked Betty home before he went to his home , a place that existed here and also as a distant memory .
46387	that sometimes came when someone was watching him	someone	PRON	that	nsubj	shoulders	his shoulders	(16, 23)	('shoulders', '.')	""" Jim 's grin was cut off as he felt the itching between his shoulders that sometimes came when someone was watching him . """
46388	who eyed him	who	PRON	who	nsubj	Betty	Betty	(8, 10)	(',', '.')	Jim straightened up , walking with Betty , who eyed him .
46389	who came down with me	who	PRON	who	nsubj	others	maybe all the others	(12, 16)	('others', '?')	"And what happened to Paul and Charlie and maybe all the others who came down with me ? """
46390	who think everything happening in the mid - twenty - first century	everything	PRON	who	nsubj	ones	The ones	(2, 13)	('ones', 'is')	The ones who think everything happening in the mid-twenty-first century is God culling out the unfit before Armageddon ?
46391	who bulked physically larger	who	PRON	who	nsubj	one	one	(7, 10)	('one', '.')	With him was another boy , one who bulked physically larger .
46392	that would annihilate the lower end of the food chain , aggravate climate change , and poison humans in a tiiousand different ways	that	DET	that	nsubj	leavings	leavings	(6, 28)	('leavings', '.')	They would also produce leavings that would annihilate the lower end of the food chain , aggravate climate change , and poison humans in a tiiousand different ways .
46393	who was trying to look away	who	PRON	who	nsubj	boy	the smaller boy	(9, 14)	(',', '.')	""" Betty stared at the smaller boy , who was trying to look away . "" Professor Oldham , "" she said ."
46394	who understands it 's what like to be here	it	PRON	who	nsubj	someone	someone	(11, 19)	('else', '?')	Have n't you missed the opportunity to speak with someone else who understands what it 's like to be here ?
46395	who would deny the will of the Almighty	who	PRON	who	nsubj	those	those	(10, 17)	('those', 'must')	"The end is upon us all , and those who would deny the will of the Almighty must be stopped . """
46396	that he tossed to one side	he	PRON	that	dobj	switchblade	a switchblade	(23, 28)	('switchblade', '.')	Pulling out his handkerchief , Jim covered his hand with it before reaching into Oldham 's pocket and pulling out a switchblade that he tossed to one side .
46397	that were n't on the list	that	DET	that	nsubj	more	few more	(17, 22)	('more', 'but')	Our sources inside the project gave us all the names , and we got a few more that were n't on the list but were obviously working with the others .
46398	he shied that from	he	PRON	that	pobj	one	one	(8, 11)	('one', '.')	That left one ugly alternative , one that he shied from .
46399	she smeared that across one cheek	she	PRON	that	pobj	cut	the shallow cut	(9, 14)	('blood', ',')	Standing up , the shallow cut dripping blood that she smeared across one cheek , Betty took a deep breath .
46400	that might be a quiver	that	DET	that	nsubj	something	something	(11, 15)	('something', '.')	Youngha recognized a knife , a rod , and something that might be a quiver .
46401	that glowed in the dimness	that	DET	that	nsubj	eyes	eyes	(15, 19)	('eyes', '.')	The alien reached the end of its song and stopped , fixing her with eyes that glowed in the dimness .
46402	that she understood	she	PRON	that	dobj	alien	the alien	(10, 12)	('alien', '.')	She wished she knew how to teU the alien that she understood .
46403	that stretched out to the edge of the sky 's blue dome	that	DET	that	nsubj	sea	a golden sea	(10, 21)	('sea', '.')	Dry grass crunched under her feet , a golden sea that stretched out to the edge of the sky 's blue dome .
46404	that looked like nothing more than three broad fan blades with a spray of grasping legs in the middle	that	DET	that	nsubj	thing	a thing	(14, 32)	('thing', '.')	She laid her hand down on the specimen table , next to a thing that looked like nothing more than three broad fan blades with a spray of grasping legs in the middle .
