	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
41168	who was riding in the passenger seat of her cookie truck	who	PRON	who	nsubj	sister	her sister	(9, 19)	(',', '.')	Hannah Swensen complained to her sister Michelle , who was riding in the passenger seat of her cookie truck .
41169	who drives faster than forty on a night like	who	PRON	who	nsubj	anybody	anybody	(8, 16)	('anybody', 'this')	It 's nasty out there , and anybody who drives faster than forty on a night like this is crazy .
41170	that had yielded a record number of inches	that	DET	that	nsubj	winter	an snowy winter	(14, 21)	('winter', '.')	The current road conditions had been brought about by an extremely snowy winter that had yielded a record number of inches .
41171	that led to the Winnetka County rest stop	that	DET	that	nsubj	road	curvy access road	(3, 10)	('road', '.')	curvy access road that led to the Winnetka County rest stop .
41172	that warned motorists to slow to fifteen miles an hour	that	DET	that	nsubj	sign	a limit sign	(10, 19)	('sign', '.')	<p> Hannah barreled past a speed limit sign that warned motorists to slow to fifteen miles an hour .
41173	that ran past the rest stop	that	DET	that	nsubj	straightaway	the straightaway	(5, 10)	('straightaway', ',')	When she reached the straightaway that ran past the rest stop , she skidded on a patch of ice and came very close to crashing into the faded Minnesota state map with the red
41174	that had stuck	that	DET	that	nsubj	horn	a car horn	(8, 10)	('horn', ',')	With the exception of a car horn that had stuck , the night was eerily silent .
41175	that paralleled the highway	that	DET	that	nsubj	road	the access road	(15, 18)	('road', ',')	And then , just as she was about to pull out onto the access road that paralleled the highway , sirens wailed in the distance .
41176	who came to help	who	PRON	who	nsubj	motorists	"p "" Two passing motorists"	(7, 10)	('motorists', ',')	"<p> "" Two passing motorists who came to help , "" Hannah explained as quickly as she could ."
41177	who introduced me to your music	who	PRON	who	nsubj	one	the one	(11, 16)	('one', '.')	Devin 's your biggest fan , and he 's the one who introduced me to your music .
41178	that they light up once the police patrols pass by	patrols	NOUN	that	dobj	something	something	(9, 18)	('this', '.')	Most everyone down here has something like this that they light up once the police patrols pass by .
41179	who is n't destructive than for it to be empty	it	PRON	who	nsubj	someone	someone	(10, 19)	('house', '.')	Actually , I 'd rather have someone inside the house who is n't destructive than for it to be empty .
41180	which was n't her listing	her	DET	which	nsubj	house	the next house	(21, 25)	(',', '.')	, Babs left the little girl to her tricycle and walked across the denuded front lawn to the next house , which was n't her listing .
41181	who cared	who	PRON	who	nsubj	point	the point	(15, 16)	(',', '?')	Who knew about this hidden segment of society , and more to the point , who cared ?
41182	who adore each other	who	PRON	who	nsubj	people	two people	(11, 14)	('people', 'can')	They talked on and on , laughing as only two people who adore each other can .
