	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
24319	who met up again in a nursing home and got remarried , on the celebrated history behind the candy heart	who	PRON	who	nsubj	sweethearts	high school sweethearts	(11, 30)	('sweethearts', ',')	The news broadcasts tossed aside their features on high school sweethearts who met up again in a nursing home and got remarried , on the celebrated history behind the candy heart , and instead began to run constant weather bulletins about the strength of the storm and the communities where ice had knocked out the power .
24320	that had pulled in behind the overturned vehicle , trying to see whether the officer in the driver 's seat was Sean	officer	NOUN	that	nsubj	cruiser	the police cruiser	(16, 37)	('cruiser', '.')	> I squinted at the screen , at the flashing blues of the police cruiser that had pulled in behind the overturned vehicle , trying to see whether the officer in the driver 's seat was Sean .
24321	whom I trusted more than anyone in the world to rescue me	I	PRON	whom	dobj	time	this time	(15, 26)	(',', '.')	""" I reached for the receiver , and this time I called Piper , whom I trusted more than anyone in the world to rescue me ."
24322	who had stepped in just eight weeks ago at Piper 's request	who	PRON	who	nsubj	OB	the medicine OB	(15, 26)	('OB', '.')	> Gianna was Dr. Del Sol , the maternal-fetal-medicine OB who had stepped in just eight weeks ago at Piper 's request .
24323	that fit me now	that	DET	that	nsubj	one	the only one	(16, 19)	('one', '.')	I sat next to her , wearing your father 's winter coat , the only one that fit me now .
24324	who was carrying a snowball	who	PRON	who	nsubj	Emma	Emma	(12, 16)	(',', '.')	"Her husband , Rob , trailed behind , carrying Emma , who was carrying a snowball . """
24325	that bends instead of breaking	that	DET	that	nsubj	tree	a tree	(18, 22)	('tree', '.')	But I wanted to give you a prophecy to carry with you , the name of a tree that bends instead of breaking .
24326	that caused bones so brittle they might break with a stumble , a twist , a sneeze	they	PRON	that	nsubj	defect	a collagen defect	(5, 21)	('defect', '.')	It was a collagen defect that caused bones so brittle they might break with a stumble , a twist , a sneeze .
24327	that would paralyze the Washington , D.C. , airports for three days	that	DET	that	nsubj	rain	an icy rain	(20, 31)	('rain', '.')	I watched the Doppler weather scan track the blizzard as it moved south , turning into an icy rain that would paralyze the Washington , D.C. , airports for three days .
24328	who was as fragile as a soap bubble	who	PRON	who	nsubj	girl	a beautiful baby girl	(7, 14)	(',', '.')	I had a beautiful baby girl , who was as fragile as a soap bubble .
24329	that would support your arms	that	DET	that	nsubj	wings	parabolic wings	(25, 29)	('wings', '.')	she said , and she slid her arm as a brace beneath the foam liner while the nurse raised the edges into parabolic wings that would support your arms .
24330	that 's the practice version	that	DET	that	nsubj	thing	Good thing	(2, 6)	('thing', ',')	Good thing that 's the practice version
24331	which instead flashed a brilliant , electric blue	which	DET	which	nsubj	sclera	your sclera	(23, 30)	(',', '.')	""" Amelia gasped , as we all looked at the calling card for your disease : the whites of your sclera , which instead flashed a brilliant , electric blue ."
24332	who looked young enough to be in high school	who	PRON	who	nsubj	man	A man	(3, 11)	('man', 'poked')	""" A man who looked young enough to be in high school poked his head into the room , and Sean 's hand grabbed mine tightly ."
24333	which resulted in an expanding pneumothorax , a resultant mediastinal shift , and cardiopulmonary arrest	which	DET	which	nsubj	minutes	several minutes	(7, 21)	(',', '.')	"She was hypoxemic for several minutes , which resulted in an expanding pneumothorax , a resultant mediastinal shift , and cardiopulmonary arrest . """
24334	that filled her chest cavity	that	DET	that	nsubj	air	the air	(22, 26)	('air', '.')	Her heart , trachea , and major vessels shifted to the opposite side of her body as a result of the air that filled her chest cavity .
24335	that made Natalie flee from Cape Cod back to New Jersey in the predawn hours of Monday morning	that	DET	that	nsubj	nor'easter	the nor'easter	(13, 30)	(',', '.')	It was the persistent sense of impending doom , not the nor'easter , that made Natalie flee from Cape Cod back to New Jersey in the predawn hours of Monday morning .
24336	who would be a real mother to Katie	who	PRON	who	nsubj	wife	a wife	(6, 13)	('wife', '.')	""" He needed a wife who would be a real mother to Katie ."
24337	that was always there when she allowed herself to think about Gregg	herself	PRON	that	nsubj	lump	the lump	(12, 23)	('throat', '.')	, Natalie thought , as she swallowed the lump in her throat that was always there when she allowed herself to think about Gregg .
24338	who had upset their coaches by skipping practice or violating other rules	who	PRON	who	nsubj	players	players	(6, 17)	('players', '.')	Exceptions were allowed for players who had upset their coaches by skipping practice or violating other rules .
24339	who gave all indications of being employed by some branch of law enforcement	who	PRON	who	nsubj	man	a man	(33, 45)	('man', 'should')	<br> For a twenty-five-year-old law student with no criminal record and no illegal habits or proclivities , the presence and the attention of a man who gave all indications of being employed by some branch of law enforcement should have caused no concern whatsoever .
24340	who never listened	who	PRON	who	nsubj	star	his star	(8, 10)	(',', '.')	Coach Kyle yelled at his star , who never listened .
24341	that lined the alley	that	DET	that	nsubj	businesses	shuttered , rent businesses	(17, 20)	('businesses', ',')	Scanning the night-darkened Dumpsters and butt-sides of shuttered , low-rent businesses that lined the alley , he sucked on his Parliament and blew smoke out the cruiser 's window as Darius kept the car moving forward at ten mph .
24342	that sometimes blossomed into stomach - churning violence	that	DET	that	nsubj	crap	nonstop ante crap	(16, 23)	('crap', '.')	Fox and Reed 's Southwest Division shifts were filled with nonstop penny-ante crap that sometimes blossomed into stomach-churning violence .
24343	who thought she was an artist but had no talent anyone else could perceive	anyone	PRON	who	nsubj	girl	a waisted , curvy , featured white girl	(16, 29)	('girl', '.')	> Madeleine Fox was a small-waisted , curvy , strong-featured white girl who thought she was an artist but had no talent anyone else could perceive .
