	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
89191	who claimed he knew you	he	PRON	who	nsubj	p	a stranger < p	(12, 16)	('>', ',')	<p> after crank calls from a stranger <p> who claimed he knew you , what you wore .
89192	who 'd seen an animal eat	who	PRON	who	nsubj	someone	someone	(23, 28)	('someone', ',')	He 'd scarcely move ; <p> he 'd eat with those fixed and staring eyes <p> like someone who 'd seen an animal eat , once , years ago ; <p> his hands would go rigid and claw the air
89193	who had to be got well	who	PRON	who	nsubj	p	Orpheus < p	(8, 13)	('>', '.')	He was just sick Orpheus <p> who had to be got well .
89194	that waved ,	that	DET	that	nsubj	cracks	white cracks	(14, 16)	('plaster', 'fluctuated')	She stared at the cracks in the ceiling , white cracks in white plaster that waved , fluctuated , grew into other cracks , other images .
89195	that rounded perpendicular to the first	that	DET	that	nsubj	one	then one	(6, 11)	('one', ':')	A sharp line and then one that rounded perpendicular to the first : her mother 's neck and shoulders .
89196	that spread	that	DET	that	nsubj	lens	a angle lens	(19, 20)	('lens', 'their')	Six men stood outside her door ; she studied them through the peephole , a wide-angle lens that spread their stem faces into the facades of fun house characters .
89197	that compounded her mistake	that	DET	that	nsubj	effect	the cascade effect	(18, 21)	('effect', '.')	The timing and the surgery had set in motion her current predicament , had created the cascade effect that compounded her mistake .
89198	that you constructed for me to trip over	me	PRON	that	dobj	25;0;TOOLONG	the * 25;0;TOOLONG	(5, 12)	('25;0;TOOLONG', '.')	the **25;0;TOOLONG that you constructed for me to trip over .
89199	which creates	which	DET	which	nsubj	I	"only the "" I"	(9, 10)	('I', '.')	"So now , there is only the "" I which creates . """
89200	that blinked on the screen	that	DET	that	nsubj	digits	the large red digits	(15, 19)	('digits', '.')	> Ova-6 sat in front of her computer console and read the large red digits that blinked on the screen .
89201	that created a power base for men	that	DET	that	nsubj	letters	letters	(42, 48)	('reports', '.')	Charles Scholes invents the typewriter and for two and a half centuries hundreds of thousands of women have sat , hunched over metal and then plastic keyboards with their alphabets misarranged , organized for speed and efficiency , printing letters and reports that created a power base for men .
89202	that caused the mutations in each generation	that	DET	that	nsubj	gene	the gene	(16, 22)	('gene', ',')	Her mother 's decision to change her birth date had escalated the search for the gene that caused the mutations in each generation , but its discovery would not lead them anywhere else .
89203	that helps me think	me	PRON	that	nsubj	spine	the spine	(30, 33)	('spine', '.')	There has always been something about libraries , maybe the smell of old books , or the sight of colored bindings , or reading the titles embossed down the spine that helps me think .
89204	that included texts about alien abductions , self - help and recovery , and New Age Wisdoms	that	DET	that	nsubj	books	books	(8, 24)	('books', ',')	As I wandered down an aisle of books that included texts about alien abductions , self-help and recovery , and New Age Wisdoms , I thought how disjointed the filing seemed .
89205	that fell over his forehead	that	DET	that	nsubj	hair	the light brown hair	(15, 19)	('hair', '.')	Dr. George Anderson ran the fingers of his right hand through the light brown hair that fell over his forehead .
89206	that spelled Anderson	that	DET	that	nsubj	letters	the letters	(22, 24)	('letters', '.')	He could run his fingers over the monuments , the pads on the tips feeling the rough stone , circling the letters that spelled Anderson .
89207	who felt	who	PRON	who	nsubj	person	the only other person	(21, 22)	('person', 'buried')	He had an appointment to play handball with Tim O'Keeffe ; one of Ova-6 's gynecologists and the only other person who felt buried here , and as fearful of the ethical implications as Anderson .
89208	who had grown up here	who	PRON	who	nsubj	woman	the young woman	(21, 25)	('woman', 'lived')	It was n't just the money ; she had felt called , as if the voice of the young woman who had grown up here lived inside her head .
89209	that never seemed clean enough to Judith	that	DET	that	nsubj	Cod	a small crumbling Cape Cod	(17, 23)	('Cod', '.')	She , her sister and mother had lived together in a small , crumbling Cape Cod that never seemed clean enough to Judith .
89210	that led into the first sub - basement	that	DET	that	nsubj	door	the door	(18, 25)	('door', '.')	> Judith paused and glanced at the walls , floors , and ceiling again before opening the door that led into the first sub-basement .
89211	that rot about soul transmigration	that	DET	that	nsubj	all	all	(22, 26)	('all', '.')	"But seriously , my dear girl , "" he said , "" I hope you are n't getting to believe in all that rot about soul transmigration ."
89212	which renders each cycle a little in advance of the previous one	which	DET	which	nsubj	cycles	the cycles	(15, 26)	('time', '.')	There is a general progression of the Universe over and above the cycles of time which renders each cycle a little in advance of the previous one .
89213	that is a specialty of the city	that	DET	that	nsubj	sausage	a sausage	(28, 34)	('sausage', '.')	In the morning , breakfast on a tray was placed on a shelf in the corridor : bread , butter , honey , and slices of a sausage that is a specialty of the city .
89214	who ran the place	who	PRON	who	nsubj	women	the severe young women	(8, 11)	('women', 'was')	Contact with the severe and serene young women who ran the place was minimal .
89215	who are selling things in it	who	PRON	who	nsubj	people	the people	(10, 15)	('people', '.')	, rather , I know by heart the people who are selling things in it .
89216	who is standing	who	PRON	who	nsubj	woman	a woman	(9, 11)	('woman', ';')	I peer into the basket of a woman who is standing ; she has no stool .
89217	which seems even higher because he is going bald	he	PRON	which	nsubj	hands	long hands	(9, 17)	(',', '.')	He has long hands and a high forehead , which seems even higher because he is going bald .
89218	who looks like a passerby	who	PRON	who	nsubj	man	a man	(12, 16)	('man', 'is')	The grocer behind the stand is playing black , and a man who looks like a passerby is playing white .
89219	which has sweet candied oranges buried in it	which	DET	which	nsubj	bread	the honey bread	(14, 21)	(',', '.')	<p> A woman customer asks for some of the honey bread , which has sweet candied oranges buried in it .
89220	who helped them or hid them	who	PRON	who	nsubj	Poles	any Poles	(13, 18)	('Poles', '.')	All other trespassers outside the ghetto were shot , as were any Poles who helped them or hid them .
89221	which was not often	which	DET	which	nsubj	house	somebody house	(16, 19)	(',', '.')	, we played with my parents or when we got invited to somebody 's house , which was not often .
89222	who happened to be between them	who	PRON	who	nsubj	Ken	Ken	(50, 55)	(',', ',')	In front of the school assembly -- fifty bare-kneed , cowed boys , each trying to find , unaided , a sense to life -- the apoplectic headmaster was in a rage and had thrown a dining-room chair at the Latin teacher , and Ken , who happened to be between them , caught it in mid-flight with one hand .
89223	who otherwise haunted him	who	PRON	who	nsubj	dead	the dead	(15, 18)	(',', '.')	The game also allowed him to recall certain easy moments with the dead , who otherwise haunted him .
89224	who then get to wear their white Communion	who	PRON	who	nsubj	girls	particularly the girls	(24, 31)	(',', 'dresses')	And every day this week they do their best to get to church and take Communion once more , particularly the girls , who then get to wear their white Communion dresses another time .
89225	which opened onto a staircase , overlooked by a landlady	which	DET	which	nsubj	key	a key	(56, 65)	(',', ',')	In reality , he moved often , but the moves were made when I was away at school and , on returning and going to see him , I would find his same few possessions piled up on a similar table at the foot of a similar bed , behind a door with a key , which opened onto a staircase , overlooked by a landlady , always worrying in the same way about the lights being left on .
89226	which he left open on the floor	he	PRON	which	dobj	suitcases	> His two suitcases	(6, 12)	(',', ',')	> His two suitcases , which he left open on the floor , were never entirely unpacked .
89227	who was appealing to Poles in Poland to support the ongoing uprising in the Warsaw ghetto	who	PRON	who	nsubj	Sikorski	General Sikorski	(30, 45)	(',', '.')	April , 1943 , Ken told me about a London radio broadcast , made the day before , by General Sikorski , the Polish Prime Minister in exile , who was appealing to Poles in Poland to support the ongoing uprising in the Warsaw ghetto .
89228	that had to be stanched	that	DET	that	nsubj	pain	a pain	(12, 16)	('pain', ',')	The tumescence came unasked and waited like a pain , a pain that had to be stanched , low down in the middle of his long body .
89229	which came to the center of the city with the garden vegetables	which	DET	which	nsubj	butterflies	two butterflies	(5, 16)	(',', ',')	We watch two butterflies , which came to the center of the city with the garden vegetables , fly upward in a spiral .
89230	who was	who	PRON	who	nsubj	photographer	a war photographer	(9, 10)	('photographer', ',')	He came with a woman , a war photographer who was , I think , Czech .
89231	that have to be sold and eaten quickly because they wo n't last ,	they	PRON	that	nsubj	cherries	the black cherries	(6, 19)	('cherries', 'the')	almost empty , the black cherries that have to be sold and eaten quickly because they wo n't last , the barrel of salted herring , the voice of Ewa Demarczyk on a CD , singing one of her defiant songs
89232	who eats when he 's nervous	he	PRON	who	nsubj	type	the type	(4, 9)	('type', ',')	He was the type who eats when he 's nervous , and after Jack Hamilton died , in Aurora , Illinois , Johnnie felt he was next .
89233	who owned the place	who	PRON	who	nsubj	kraut	the kraut	(6, 9)	('kraut', 'had')	Boy , I hope the kraut who owned the place had insurance !
89234	that belonged to a carpenter just up the road	that	DET	that	nsubj	coupe	Ford coupe	(2, 10)	('coupe', '.')	Ford coupe that belonged to a carpenter just up the road .
89235	that looked long empty	that	DET	that	nsubj	farmhouse	a farmhouse	(20, 23)	('farmhouse', '.')	I drove about seventy yards , over a little rise and down the other side , ending at a farmhouse that looked long empty .
89236	that says I ' m just a harmless Homer by the side of the road	I	PRON	that	nsubj	one	That big one	(3, 17)	('one', '.')	That big one that says I 'm just a harmless Homer by the side of the road .
89237	who needs a smack every second week or so to keep her tits up	who	PRON	who	nsubj	kind	the kind	(7, 20)	('woman', '.')	She sounded like the kind of woman who needs a smack every second week or so to keep her tits up .
89238	which was pretty dear	which	DET	which	nsubj	dollars	hundred dollars	(16, 19)	(',', ',')	and we got a room for the night , although it cost two hundred dollars , which was pretty dear , considering the view was an alley and the toilet was at the far end of the hall .
89239	who 'd turned Harry and Jack out when they were n't no more than snotnoses	they	PRON	who	nsubj	Fagin	the Fagin	(17, 31)	('Fagin', '.')	<p> Harry Pierpont and Charlie Makley , I guessed -- Charlie was the Fagin who 'd turned Harry and Jack out when they were n't no more than snotnoses .
89240	who has to find one	who	PRON	who	nsubj	boy	the boy	(13, 17)	('boy', '.')	""" He needs a doc , Homer , and you 're the boy who has to find one . """
89241	that Johnnie had	Johnnie	PROPN	that	dobj	way	the way	(20, 22)	('way', '--')	Mickey McClure showed up and tried to turn us out , but Johnnie talked to him in the way that Johnnie had -- when he turned on the charm , it was almost impossible to tell Johnnie
89242	who Chummah was	Chummah	PROPN	who	attr	idea	no idea	(5, 7)	('idea', ',')	I had no idea who Chummah was , but I nodded and patted his shoulder @ @
89243	which was how he got into a life of crime	he	PRON	which	nsubj	shoes	shoes	(14, 23)	(',', '.')	Some judge had given him three years for stealing a pair of shoes , which was how he got into a life of crime .
89244	which looked like boogers	which	DET	which	nsubj	chunks	big green chunks	(10, 13)	('chunks', '.')	Some was white , but there was big green chunks which looked like boogers .
89245	that was in there	that	DET	that	nsubj	slug	the slug	(27, 30)	('slug', ',')	she cried , and tossed them to one side , and then stuck her fingers into the bloody hole , reached around until she found the slug that was in there , pulled it out , and threw it to the floor .
89246	which had been the Barker Gang 's last big job	which	DET	which	nsubj	kidnapping	the Bremer kidnapping	(46, 55)	(',', '.')	Anyway , he 'd been down to the phone they used at the Cities Service station in town , and he said the Gees had been busy back in Chicago , arresting anyone and everyone they thought might be connected to the Bremer kidnapping , which had been the Barker Gang 's last big job .
89247	which was the Pierpont Gang to begin with	which	DET	which	nsubj	gang	the gang	(16, 23)	(',', ',')	If not for Johnnie , he never would 've taken me into the gang , which was the Pierpont Gang to begin with , remember .
89248	who thinks it 's impossible to lasso a horsefly	it	PRON	who	nsubj	anyone	And anyone	(2, 10)	('anyone', '.')	And anyone who thinks it 's impossible to lasso a horsefly . . .
89249	who got into the wrong line of work	who	PRON	who	nsubj	fellows	good fellows	(8, 15)	('fellows', '.')	They all were , mostly -- good fellows who got into the wrong line of work .
89250	who was a worrier by nature	who	PRON	who	nsubj	mother	my mother	(5, 10)	(',', '.')	""" shouted my mother , who was a worrier by nature . """
