	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
72979	who salute you with pearls < p > as we pass by	we	PRON	who	nsubj	p	< p	(10, 21)	('>', '.')	<p> in their hair , <p> who salute you with pearls <p> as we pass by .
72980	that stared from a corner of the lobby	that	DET	that	nsubj	Economist	The Economist	(14, 21)	('Economist', ',')	""" She waved at the forbidding marble statue of the founder of The Economist that stared from a corner of the lobby , "" . . ."
72981	that threw its shadow between Vangie and him	that	DET	that	nsubj	form	big form	(2, 9)	('form', '!')	big form that threw its shadow between Vangie and him !
72982	that quickly buried the struggling old forest monarch in their shadows	that	DET	that	nsubj	saplings	young saplings	(14, 24)	('saplings', '.')	Old trees rotted at the heart , and the sun nourished young saplings that quickly buried the struggling old forest monarch in their shadows .
72983	that hurt him	that	DET	that	nsubj	gazes	their happy gazes	(10, 12)	('gazes', '.')	It was just their lowered eyes , their happy gazes that hurt him .
72984	who rowed	who	PRON	who	nsubj	Artie	Artie	(16, 17)	(',', '.')	The camping necessities were piled high in the center of the large rowboat before Artie , who rowed .
72985	who ran	who	PRON	who	nsubj	All	All	(1, 2)	('All', 'might')	All who ran might read .
72986	that celebrated Hanukkah	that	DET	that	nsubj	mouse	> The mouse	(3, 5)	('mouse', 'saw')	> The mouse that celebrated Hanukkah saw the candle 's light .
72987	who ever spent the holiday in Petri	who	PRON	who	nsubj	grandchildren	the best grandchildren	(6, 12)	('grandchildren', '.')	We were the best grandchildren who ever spent the holiday in Petri .
72988	that was brilliant jungle green with a red sash .	that	DET	that	nsubj	another	And another	(2, 11)	"('another', '""')"	And another that was brilliant jungle green with a red sash .
72989	that came as she thought of Wanda standing alone	Wanda	PROPN	that	nsubj	tears	the tears	(12, 20)	('tears', ',')	"Yes , "" agreed Maddie , and she blinked away the tears that came as she thought of Wanda standing alone , looking at the group of laughing gifts after she had said , "" Sure , a hundred -- all lined up ..."
72990	who ran a hotel in a remote corner of Cape Province	who	PRON	who	nsubj	father	their father	(33, 43)	(',', '.')	Their mother had died , and they were sent for the winter school holidays from the city where they lived with two adult sisters and a black family retainer to their father , who ran a hotel in a remote corner of Cape Province .
72991	that linked the vast subcontinent	that	DET	that	nsubj	network	the railroad network	(21, 25)	('network', '.')	Station , though it was not a real station-merely a siding for a branch line of the railroad network that linked the vast subcontinent .
72992	which forbade the purveying of alcohol on the Lord 's day	which	DET	which	nsubj	Calvinism	The prevailing Calvinism	(4, 14)	(',', ',')	The prevailing Calvinism , which forbade the purveying of alcohol on the Lord 's day , kept the place shut on Sundays , and the sabbath was spent recovering from drunkenness .
72993	whose house lay at the edge of the hamlet	house	NOUN	whose	poss	landowner	a wealthy landowner	(16, 24)	(',', '.')	There was a small general store owned by Mr. Levy , a wealthy landowner , whose house lay at the edge of the hamlet .
72994	that became layered again with fine dun powder just as soon as her rag had passed over	rag	NOUN	that	nsubjpass	surfaces	surfaces	(5, 21)	('surfaces', '.')	The woman dusted surfaces that became layered again with fine dun powder just as soon as her rag had passed over .
72995	that blazed in the kitchen	that	DET	that	nsubj	stove	the black iron coal stove	(38, 42)	('stove', '.')	The manservant cleaned , swept , scrubbed floors , kept a high shine on the red-stone floor of the verandah with paste wax , chopped wood to start the fire in the black iron coal stove that blazed in the kitchen .
72996	that was his postal depot ,	that	DET	that	nsubj	postmaster	> THE postmaster	(25, 30)	('shed', 'drank')	> THE postmaster , a great fair-haired bull of a man , silent , surly , sat alone all day in the shed that was his postal depot , drank beer all evening , slept heavily all night .
72997	who would bring their drinks out of the bar to sit with her in the lounge	who	PRON	who	nsubj	men	the men	(12, 27)	(',', ',')	In the evenings she joked and chatted with the men , who would bring their drinks out of the bar to sit with her in the lounge , and she accepted the brandies they bought for her .
72998	that dangled from the ceiling	that	DET	that	nsubj	flypaper	the gummed flypaper	(15, 19)	('flypaper', ',')	Flies droned against the windowpanes or buzzed , frantic , entrapped by the gummed flypaper that dangled from the ceiling , until , exhausted by the struggle , they gave up and expired , the desiccating corpses swaying as currents of air moved sluggishly in the room .
72999	who was expecting a baby	who	PRON	who	nsubj	wife	his wife	(37, 41)	(',', '.')	"A commercial traveler from Kimberley , a regular at the hotel always referred to by their father as "" the Scotchman , "" he had been trying all morning to get through to his wife , who was expecting a baby ."
73000	that supported the tin roof	that	DET	that	nsubj	posts	the upright wooden posts	(20, 24)	('posts', '.')	He looked out the window onto the verandah where Mrs. Prinsloo was leaning against one of the upright wooden posts that supported the tin roof .
73001	who had come down early from the dam to see the show-	who	PRON	who	nsubj	workers	workers	(9, 20)	('workers', 'The')	The dining room was already crowded with workers who had come down early from the dam to see the show-
73002	who was more to their taste	who	PRON	who	nsubj	artist	an acrobatic artist	(7, 12)	('artist', ',')	Miss Ivy Viljoen , an acrobatic artist who was more to their taste , received a standing ovation .
73003	who then retired into one of the changing booths	who	PRON	who	nsubj	Ironstone	Rex Ironstone	(11, 19)	(',', '.')	She bowed gravely and shook hands with Rex Ironstone , who then retired into one of the changing booths .
73004	that ended just above her navel	that	DET	that	nsubj	singlet	a short white singlet	(30, 35)	('singlet', '.')	The canvas screen fluttered wildly and came down , collapsing onto the stage , revealing Miss Ivy Viljoen , the acrobatic artist , clad only in a short white singlet that ended just above her navel .
73005	that ripped through the trio 's music and Trixie van Tonder 's song	that	DET	that	nsubj	screams	screams	(48, 60)	('screams', '.')	Miss Ivy Viljoen looked up in astonishment at the massed faces watching her , looked at Rex Ironstone , looked around like a trapped , desperate creature , and , seeing only the bare expanse of the flat desert , gave vent to a series of penetrating screams that ripped through the trio 's music and Trixie van Tonder 's song .
73006	who gazed stupidly at it for a few moments before flinging it around the hysterical , half - naked girl	who	PRON	who	nsubj	Ironstone	Rex Ironstone	(14, 33)	(',', '.')	Gallantly the violinist tore off his tailcoat and tossed it to Rex Ironstone , who gazed stupidly at it for a few moments before flinging it around the hysterical , half-naked girl .
73007	that lined the courtyard	that	DET	that	nsubj	verandah	the verandah	(28, 31)	('verandah', '.')	A few days before , he had risen early to go and inspect some kittens the cat had given birth to under the wooden floor of the verandah that lined the courtyard .
