	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
171870	that had been there all afternoon	that	DET	that	nsubj	load	the soft , uncomfortable load	(19, 24)	('pants', 'and')	He did n't want to sit down anyway because of the soft , uncomfortable load in his pants that had been there all afternoon
171871	that made his hand scream and made him dizzy with pain	him	PRON	that	nsubj	soldier	a cruel red soldier	(13, 23)	('soldier', 'and')	it was n't his friendly fire dancer , but a cruel red soldier that made his hand scream and made him dizzy with pain
171872	who smelled too sweet and smiled too much	who	PRON	who	nsubj	man	a man	(8, 15)	('Leroy', '.')	She got it from a man named Leroy who smelled too sweet and smiled too much .
171873	that looked like boxes of Frosted Flakes	that	DET	that	nsubj	sentinels	silent sentinels	(21, 27)	('sentinels', '.')	Sometimes the cart would be a tank , as he passed cautiously through rows of armed cling peaches and silent sentinels that looked like boxes of Frosted Flakes .
171874	that disappeared under the counter	that	DET	that	nsubj	road	the long black road	(15, 19)	('road', '.')	And at the checkout lane , the armies rolled smoothly down the long black road that disappeared under the counter .
171875	Jerome liked that to touch	Jerome	PROPN	that	dobj	dress	her sparkly fancy dress	(8, 12)	('dress', '.')	She had on her sparkly fancy dress that Jerome liked to touch .
171876	which crawled and licked and jumped along the windowsill	which	DET	which	nsubj	flames	harsh red flames	(23, 31)	('flames', '.')	"Jerome heard a loud "" whoosh "" and then he turned in terror to see the whole window covered with harsh red flames which crawled and licked and jumped along the windowsill ."
171877	that has outlived her time	that	DET	that	nsubj	vessel	many a veteran seagoing vessel	(35, 39)	('vessel', '.')	Ladies and gentlemen , I am sorry for your inconvenience , but the Ariel is an old ship , bound for dry dock in Manila and the fate of many a veteran seagoing vessel that has outlived her time .
171878	which has determined your presence here this morning , at longitude 155 degrees east and latitude 5 degrees north	which	DET	which	nsubj	thing	one primary thing	(16, 34)	(',', ';')	Yet there is one primary thing you have in common , ladies and gentlemen , which has determined your presence here this morning , at longitude 155 degrees east and latitude 5 degrees north ; your fate , as it were .
171879	which were n't cheap	which	DET	which	nsubj	passages	your own passages	(11, 14)	(',', '.')	( Though you have probably paid for your own passages , which were n't cheap . )
171880	who knows	who	PRON	who	nsubj	technology	today medical technology	(6, 7)	(',', ',')	With today 's medical technology , who knows , you might outlive them !
171881	who brought babies into the world	who	PRON	who	nsubj	men	civilized men	(32, 37)	('women', 'not')	Ladies and gentlemen , maybe it 's a simple thing , maybe it 's a self-evident thing , but consider : You are the kind of civilized men and women who brought babies into the world not by crude , primitive , anachronistic chance but by systematic deliberation .
171882	who looked into the possibility of a cruise on the S.S. Ariel	who	PRON	who	nsubj	law	an in - law	(26, 37)	('law', ';')	( Well , yes : I 'll confide in you , off-the-cuff , in several instances it was an in-law who looked into the possibility of a cruise on the S.S. Ariel ; your own son or daughter merely cooperated , after the fact , as it were .
171883	that just sat there like a fancy cat on a scarlet cushion	that	DET	that	nsubj	laugh	the laugh	(3, 14)	('laugh', '.')	the laugh that just sat there like a fancy cat on a scarlet cushion .
171884	that said PIG IRON in a rage of high , fiery print	that	DET	that	nsubj	sweatshirt	only a thick sweatshirt	(15, 26)	('sweatshirt', '.')	Though it was early March , he wore no coat , only a thick sweatshirt that said PIG IRON in a rage of high , fiery print .
171885	who had made the mistake of lighting up in the john	who	PRON	who	nsubj	woman	the woman	(25, 35)	('woman', '.')	And feeling like an extra wheel , screaming above the gnash of wheels beneath , Linda went on to tell them about the woman who had made the mistake of lighting up in the john .
171886	who once led cheers for the high school soccer team	who	PRON	who	nsubj	girl	the girl	(4, 13)	('girl', '.')	cried the girl who once led cheers for the high school soccer team .
171887	"that instantly transformed her cottage industry into what the Times had termed "" mediumhigh art"	Times	PROPN	that	nsubj	event	The chance event	(4, 18)	('event', '.')	"The chance event that instantly transformed her cottage industry into what the Times had termed "" mediumhigh art . """
171888	that decked you	that	DET	that	nsubj	dude	the dude	(5, 7)	('dude', ',')	"Day I find the dude that decked you , I want to slap him five , twice . """
171889	who 'd sprinted ahead , in open sight	who	PRON	who	nsubj	Iron	Pig Iron	(11, 18)	(',', '.')	""" she said , trying to keep Pig Iron , who 'd sprinted ahead , in open sight ."
171890	that seemed sufficient in itself to propel her to shelter	that	DET	that	nsubj	EXPLOSION	AN EXPLOSION	(9, 18)	('rage', '.')	HE ROSE IN AN EXPLOSION OF RIGHTEOUSNESS and rage that seemed sufficient in itself to propel her to shelter .
171891	which she was conscious of exaggerating	she	PRON	which	dobj	sobs	rasping sobs	(16, 21)	(',', ',')	When the real weeping was done , she began to cry in rasping sobs , which she was conscious of exaggerating , with added breath , for Jen 's sake .
171892	that suggested	that	DET	that	nsubj	dignity	a gallant challenging dignity	(28, 29)	('dignity', '.')	And there , center stage , the lustre teapot , breathing evenly through its injured spout , braving the scrape of daily disadvantage with a gallant challenging dignity that suggested . . .
171893	that sharp with Dad	that	DET	that	nsubj	Mother	Mother	(5, 8)	('Mother', '.')	""" I seldom heard Mother that sharp with Dad . """
171894	who took me to the zoo , # # and to the museum to see the dinosaurus xylophony stretching down the hall	xylophony	NOUN	who	nsubj	friend	my friend	(6, 27)	(',', '(')	"Uncle Myron was my friend , who took me to the zoo , ## and to the museum to see the dinosaurus xylophony stretching down the hall ( "" From zonnnq on his nose "" ?"
171895	that are n't in them	that	DET	that	nsubj	things	things	(9, 13)	('things', '.')	I began then to understand how words say things that are n't in them .
171896	that are already inside the hearer	that	DET	that	nsubj	meanings	meanings	(4, 9)	('meanings', '.')	Words reach for meanings that are already inside the hearer .
171897	that 's there	that	DET	that	nsubj	card	a card	(6, 8)	('card', '.')	You have to take a card that 's there .
171898	that betrayed me	that	DET	that	nsubj	form	a form	(18, 20)	('form', '.')	I did n't tell my father how I felt , but I put a question in a form that betrayed me .
171899	who had had the case from the beginning	who	PRON	who	nsubj	Gertner	Detective Gertner	(12, 19)	(',', '.')	He talked to the district attorney and to Detective Gertner , who had had the case from the beginning .
171900	which is the holy time of being on earth in overlapping lifetimes	which	DET	which	nsubj	meantime	Even the meantime	(4, 15)	(',', ',')	Even the meantime , which is the holy time of being on earth in overlapping lifetimes , ends .
171901	who committed the murder	who	PRON	who	nsubj	one	the one	(7, 10)	('one', '.')	She could even have been the one who committed the murder .
171902	that is close to you	that	DET	that	nsubj	Anything	Anything	(1, 5)	('Anything', 'is')	Anything that is close to you is different .
171903	that gave the lake its name	that	DET	that	nsubj	shelf	the shelf	(8, 13)	('shelf', '.')	Myron was on the edge of the shelf that gave the lake its name .
171904	who put him in peril	who	PRON	who	nsubj	one	the one	(43, 47)	('one', '.')	I might have led him to step off the shelf , but duty as I understood it , as I had learned it from my father , would have compelled me to save a drowning man even if I had been the one who put him in peril .
171905	that matched whatever his was	his	DET	that	nsubj	event	the event	(16, 20)	('event', '?')	Would I come forward to witness for him , to give an account of the event that matched whatever his was ?
171906	who had made lying a hard thing for me to do	me	PRON	who	nsubj	father	my father	(5, 15)	(',', '?')	for my father , who had made lying a hard thing for me to do ?
