	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
163286	who seemed exotic and strange to him	who	PRON	who	nsubj	dogs	the other dogs	(11, 17)	('dogs', '.')	Bandit looked about from his crate , eyeing the other dogs who seemed exotic and strange to him .
163287	that warded and kept company with kings	that	DET	that	nsubj	breeds	breeds	(8, 14)	('breeds', '.')	After all , they were members of breeds that warded and kept company with kings .
163288	which included the name King of Kings	which	DET	which	nsubj	titles	many titles	(7, 13)	(',', '.')	The masters gave him many titles , which included the name King of Kings .
163289	who am I	I	PRON	who	nsubj	me	But me	(3, 5)	('-', '?')	But me-who am I ?
163290	that hangs in the air for hours	that	DET	that	nsubj	size	the size	(19, 25)	('size', '.')	He leaves a mist of virus particles in the one-to-five micron range , the size that hangs in the air for hours .
163291	that soon includes the entire eastern seaboard	that	DET	that	nsubj	area	an expanding area	(14, 20)	('area', '.')	And then there are the isolated traveling cases , in an expanding area that soon includes the entire eastern seaboard .
163292	which fails to conceal Action Units Six and Twelve - happiness , actually a high euphoria	which	DET	which	nsubj	beard	a beard	(12, 27)	(',', '.')	""" And number four is a young man with a beard , which fails to conceal Action Units Six and Twelve-happiness , actually a high euphoria ."
163293	that looks like smallpox	that	DET	that	nsubj	anything	anything	(4, 7)	('anything', ',')	"If he finds anything that looks like smallpox , I 'll check it out in our portable DNA analyzer . """
163294	that might hide a tragedy from the world , but not from her	that	DET	that	nsubj	reply	a pleasant reply	(18, 30)	(',', '.')	A simple greeting from her would evoke a pleasant reply from lips , eyes , brows , that might hide a tragedy from the world , but not from her .
163295	who issued this cockamamie warrant	who	PRON	who	nsubj	judge	the judge	(23, 27)	('judge', '.')	Mr. Drake is suing the bunch of you , the FBI generally , each of you jointly and severally , plus the judge who issued this cockamamie warrant .
163296	that Lucky inhabited	Lucky	PROPN	that	dobj	world	the richer world	(15, 17)	('world', '.')	Happy as he was with his pastoral pleasures , Luke envied the richer world that Lucky inhabited .
163297	that Luke deserved	Luke	PROPN	that	dobj	kind	the kind	(23, 25)	('companion', '.')	Elwen was a self-assured young woman now , with a growing reputation as a Healer , the kind of companion that Luke deserved .
163298	that left Luke so distracted and restless	that	DET	that	nsubj	ingredient	the missing ingredient	(6, 12)	('ingredient', '.')	Perhaps she was the missing ingredient that left Luke so distracted and restless .
163299	that Luke found refreshing among the local girls	Luke	PROPN	that	advmod	edge	an edge	(11, 18)	('edge', '.')	She was a sweet one , but with an edge that Luke found refreshing among the local girls .
163300	that was at once challenging and reassuring	that	DET	that	nsubj	way	a unique way	(10, 16)	('her', '.')	And yet , Mirve had a unique way about her that was at once challenging and reassuring .
163301	who 'd be better for me	who	PRON	who	nsubj	someone	someone	(6, 11)	('else', '.')	"Maybe there 's someone else who 'd be better for me . """
163302	who did the real work	who	PRON	who	nsubj	ones	The ones	(2, 6)	('ones', ',')	The ones who did the real work , mostly female and middle aged , were resuming their disrupted chores at various desks , copiers , and printers in the open work area .
163303	that Lucky had occasion to approach it	Lucky	PROPN	that	advmod	years	all the sixteen years	(15, 21)	('years', '.')	She had guarded the chancellor 's door for all the sixteen-plus years that Lucky had occasion to approach it .
163304	who just manage to , ah , get by	who	PRON	who	nsubj	students	students	(10, 18)	('students', '.')	"Though we do take a dim view of students who just manage to , ah , get by . """
163305	which flexed almost imperceptibly	which	DET	which	nsubj	hands	his folded hands	(8, 11)	(',', '.')	Greaves was staring at his folded hands , which flexed almost imperceptibly .
163306	that he failed to notice the young man forming before him	man	NOUN	that	mark	child	a scared child	(14, 24)	('child', '.')	He had evidently grown so accustomed to manipulating a scared and lonely child that he failed to notice the young man forming before him .
163307	that had grown between him and Elwen	that	DET	that	nsubj	gulf	the gulf	(11, 17)	('gulf', '.')	On top of it all , he sensed the gulf that had grown between him and Elwen .
163308	who shack up with my oldest and best friend	who	PRON	who	nsubj	girls	the girls	(3, 11)	('girls', '.')	Including the girls who shack up with my oldest and best friend .
163309	that you fear	you	PRON	that	dobj	things	the things	(10, 12)	('things', '.')	We probably did n't discuss any of the things that you fear .
163310	that work for you	that	DET	that	nsubj	answers	the answers	(9, 12)	('answers', '.')	"Maybe then you can come up with the answers that work for you . """
163311	that will eat you alive unless you indulge it	you	PRON	that	nsubj	wanderlust	a wanderlust	(7, 15)	('wanderlust', '.')	You 've got a wanderlust that will eat you alive unless you indulge it .
163312	that killed your father	that	DET	that	nsubj	snowstorm	a snowstorm	(8, 11)	('snowstorm', ',')	Look , you were born in a snowstorm that killed your father , yet you lived .
163313	who look to me as a Healer	who	PRON	who	nsubj	people	the people	(12, 18)	('people', '.')	I would n't be good for you , or for the people who look to me as a Healer .
163314	who tolerated his presence	who	PRON	who	nsubj	gang	even the gang	(10, 13)	('gang', '.')	Everyone knew he was a coward , even the gang who tolerated his presence .
163315	that can carry you from here to the city in just a few hours	that	DET	that	nsubj	machines	machines	(11, 24)	('machines', '.')	Roads six lanes wide and beautifully paved , for machines that can carry you from here to the city in just a few hours .
163316	that fly between cities	that	DET	that	nsubj	machines	other machines	(5, 8)	('machines', ',')	A place with other machines that fly between cities , even across oceans , in just a few more hours .
163317	that remember things , and talk to other machines to help you find information , even on the other side of the world	you	PRON	that	nsubj	Machines	Machines	(1, 23)	('Machines', '.')	"Machines that remember things , and talk to other machines to help you find information , even on the other side of the world . """
163318	that came up out of nowhere	that	DET	that	nsubj	snowstorm	a snowstorm	(7, 12)	('snowstorm', '.')	"And they got caught in a snowstorm that came up out of nowhere . """
163319	who comes down the hill days later carrying an infant son	who	PRON	who	nsubj	father	the father	(7, 17)	('father', '.')	But this time it 's the father who comes down the hill days later carrying an infant son .
163320	who never answered	who	PRON	who	nsubj	husband	her husband	(15, 17)	(',', '.')	"She has another memory of giving birth and calling out to her husband , who never answered . """
163321	that affects what happens in mine	what	PRON	that	nsubj	thing	a thing	(10, 15)	('world', '.')	It 's a thing he can do in his world that affects what happens in mine .
163322	who keeps sprinkling pixie dust on your feet	who	PRON	who	nsubj	guy	the guy	(3, 10)	('guy', ',')	"For the guy who keeps sprinkling pixie dust on your feet , even though "" it takes a lot out of him every time ."
163323	who could report when Lucky was suitably unresponsive	Lucky	PROPN	who	nsubj	one	the one	(9, 16)	('one', '.')	He was just the probe , the one who could report when Lucky was suitably unresponsive .
163324	that began to worry me the most	that	DET	that	nsubj	swings	the mood swings	(6, 12)	('swings', ',')	""" It was the mood swings that began to worry me the most , however ."
163325	that nobody wore anymore	nobody	PRON	that	dobj	one	And one	(10, 13)	('caps', '.')	And one of those silly little nurse 's caps that nobody wore anymore .
163326	who lost it	who	PRON	who	nsubj	student	the occasional student	(26, 28)	('student', '.')	It was the one in the infirmary at the end of the hall , reserved for rich kids , measles cases , and the occasional student who lost it .
163327	who will ,	who	PRON	who	nsubj	doctors	two doctors	(9, 11)	('doctors', 'I')	Tomorrow morning you 'll be examined by two doctors who will ,
163328	that galled Lucky the most	that	DET	that	nsubj	betrayal	@ betrayal	(3, 7)	('betrayal', ';')	@ 's betrayal that galled Lucky the most ; the wealth was still too abstract a thing for him to feel as a personal loss .
163329	that are wrong with me	that	DET	that	nsubj	things	all the things	(7, 11)	('things', '.')	She keeps telling me all the things that are wrong with me .
