	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
180139	who would listen what Kim could and could not see	Kim	PROPN	who	nsubj	anyone	anyone	(14, 23)	('anyone', ',')	He studied the child 's every movement , was quick to tell anyone who would listen what Kim could and could not see , could and could not know .
180140	that was thawing on the counter	that	DET	that	nsubj	turkey	the turkey	(17, 22)	('turkey', '.')	She had stood , not knowing what to do with her hands or with the turkey that was thawing on the counter .
180141	that grew close by	that	DET	that	nsubj	roses	the wild roses	(13, 16)	('roses', ',')	The kids ran ahead , stopping to examine shells and the wild roses that grew close by , while she and Walter followed , drawn by the thought of a cool shower and a nap .
180142	which used to be the garage	which	DET	which	nsubj	office	his black office	(48, 53)	(',', '.')	Now Carol has had a second boy ( Brandon ) , in addition to her first one ( William the Fourth ) , and she stays at home with them while Trey sits and records people 's problems out in his black-and-white office , which used to be the garage .
180143	who looked and sounded just like all the others	who	PRON	who	nsubj	somebody	somebody	(15, 23)	('somebody', '.')	BEN , AFTER A SERIES OF LIVE-IN GIRLFRIENDS , met and married somebody who looked and sounded just like all the others .
180144	who wanted to settle somewhere and spend her life there	who	PRON	who	nsubj	woman	a cute , quiet , conventional woman	(29, 38)	('woman', '.')	Instead she keeps it in its box , in the drawer where she keeps a photo of Ben 's first wife , a cute , quiet , conventional woman who wanted to settle somewhere and spend her life there .
180145	who could give him some TLC	who	PRON	who	nsubj	woman	woman	(2, 7)	('woman', '?')	woman who could give him some TLC ?
180146	who was probably Anna 's age	who	PRON	who	nsubj	someone	someone	(1, 6)	('someone', '--')	someone who was probably Anna 's age -- came out and took her by the arm .
180147	that came with the house	that	DET	that	nsubj	fries	fries	(13, 17)	('tablecloth', '.')	They both sat quietly , fries and catsup all over the plastic tablecloth that came with the house .
180148	who came outside less and less	who	PRON	who	nsubj	woman	the woman	(16, 21)	(',', '.')	Summer after summer they came to the same house , catching glimpses of the woman , who came outside less and less .
180149	who reach out and then shrink back from the hungry tongue of a billy goat	who	PRON	who	nsubj	ones	little ones	(7, 21)	('ones', '.')	Young mothers are there with little ones who reach out and then shrink back from the hungry tongue of a billy goat .
180150	who filed up the steps and in through the narrow door	who	PRON	who	nsubj	crowd	a crowd	(26, 36)	('children', ',')	Out the window she could see the dogwood tree , leaves bright red , and down below the school bus stopping for a crowd of children who filed up the steps and in through the narrow door , their arms filled with lunch boxes and notebooks .
180151	which Anna brushed off with a wave of her hand	Anna	PROPN	which	dobj	way	a shocked , worried way	(13, 22)	(',', '.')	The teacher looked at Anna in a shocked , worried way , which Anna brushed off with a wave of her hand .
180152	who has stood so quietly with	who	PRON	who	nsubj	man	The man	(3, 8)	('man', 'the')	The man who has stood so quietly with the bouquet is moving forward , arms reaching for a young woman in blue jeans , her hair cropped in a thick blunt cut .
180153	that would give a conquistador a heart attack	that	DET	that	nsubj	Insults	Insults	(2, 9)	('Insults', '?')	Insults that would give a conquistador a heart attack ?
180154	I had that to quit using because it would n't close anymore	it	PRON	that	dobj	purse	a little leather coin purse	(19, 30)	('purse', '.')	Sometimes our pockets bulge with insults , and personally , I have a little red leather coin purse that I had to quit using because it would n't close anymore .
180155	who had to find someplace to put all the grief and desperation of watching poverty - carve furrows in their lives as deep as the rains did in the hillsides	rains	NOUN	who	nsubj	people	hard people	(7, 36)	('people', '.')	Petty feuds between hard-up people who had to find someplace to put all the grief and desperation of watching poverty-carve furrows in their lives as deep as the rains did in the hillsides .
180156	that were always holy	that	DET	that	nsubj	sects	those fervent , severe , evangelical sects	(25, 28)	('sects', 'rolling')	If you lacked the staying power for neighborly backbiting , you could join a religion , one of those fervent , severe , evangelical sects that were always holy rolling through the mountains in search of depressed and lonely people ready to try anything .
180157	who lived for months on end on nothing but the malanga they dug out of other people 's land	they	PRON	who	nsubj	men	known old men	(6, 24)	('men', '.')	I 've known old men who lived for months on end on nothing but the malanga they dug out of other people 's land .
180158	who gave me room and board for helping out with the house and kids	who	PRON	who	nsubj	hers	hers	(7, 20)	('hers', ',')	I stayed with a cousin of hers who gave me room and board for helping out with the house and kids , and learned to type and answer telephones and memorize all the correct formats for business letters .
180159	who lived in the Bronx	who	PRON	who	nsubj	kids	two kids	(10, 14)	(',', '.')	One of them was a woman with two kids , who lived in the Bronx .
180160	who taught it	who	PRON	who	nsubj	man	The man	(2, 4)	('man', 'was')	The man who taught it was smart .
180161	that happens overnight	that	DET	that	nsubj	something	something	(5, 7)	('something', '.')	Now cancer is n't something that happens overnight .
180162	that killed Mami	that	DET	that	nsubj	hunger	hunger	(6, 8)	('hunger', '.')	and I believe it was hunger that killed Mami .
180163	that never had anything to eat but	that	DET	that	nsubj	hunger	the wild dog hunger	(11, 17)	('her', 'the')	I think it was the wild dog hunger in her that never had anything to eat but
180164	that ate Mami 's stomach	that	DET	that	nsubj	kind	The kind	(4, 8)	('hunger', 'ca')	The kind of hunger that ate Mami 's stomach ca n't be kept in .
180165	who starve us	who	PRON	who	nsubj	ones	the ones	(11, 13)	('ones', ',')	Some of us have gotten fierce enough to attack the ones who starve us , but mostly the wild dog kind just maul their neighbors and themselves .
180166	that only give you gas	that	DET	that	nsubj	soups	those soups	(30, 34)	('malice', '.')	A different set of recipes than the ones she lived her life by , those poisonous brews of resignation and regret , those soups of monotony and neighborly malice that only give you gas .
180167	that calls for a good stiff pinch of union wage	that	DET	that	nsubj	Lonche	Lonche	(6, 15)	('Lonche', '.')	one called Secretarial There 's Lonche that calls for a good stiff pinch of union wage .
180168	who had climbed down from the bed and were frolicking with , around and over each other as they gradually explored the small apartment	they	PRON	who	nsubj	kittens	the two tiny kittens	(23, 46)	(',', '.')	Once there , he quickly drifted into a light , uneasy doze , only vaguely aware of the two tiny kittens , who had climbed down from the bed and were frolicking with , around and over each other as they gradually explored the small apartment .
180169	who thought they were fine	they	PRON	who	nsubj	one	the only one	(6, 10)	('one', '.')	George was n't the only one who thought they were fine .
180170	who might make good use of it , sooner or later	who	PRON	who	nsubj	somebody	somebody	(5, 15)	('somebody', '.')	"Surely he knew somebody who might make good use of it , sooner or later . 
"
180171	that scared me	that	DET	that	nsubj	way	a way	(3, 5)	('way', '.')	In a way that scared me .
180172	who had never to anyone 's recollection	who	PRON	who	nsubj	Graff	Zachary Graff	(14, 20)	(',', 'asked')	, how , in this winter of their senior year , Zachary Graff , who had never to anyone 's recollection asked a girl out before , let alone pursued her so publicly and with such clumsy devotion , seemed to have fallen in love with Sunny Burhman .
180173	that transformed a girl of conventional freckled , snub - nosed prettiness into a true beauty	that	DET	that	nsubj	smile	a dazzling white Sunny - smile	(17, 32)	('smile', ',')	"Sunny , so named for her really quite astonishing smile , a dazzling white Sunny-smile that transformed a girl of conventional freckled , snub-nosed prettiness into a true beauty , might have been surprised initially but gave no sign , saying , "" Hi , Zach ! """
180174	who was , or seemed , even at the time of this story , too good to be true	who	PRON	who	nsubj	Burhman	Sunny Burhman	(4, 22)	(',', '.')	Like Sunny Burhman , who was , or seemed , even at the time of this story , too good to be true .
180175	with which he spoke	he	PRON	which	pobj	pomposity	the solemn pomposity	(17, 20)	('with', 'would')	His life 's game , he informed Sunny Burhman , unaware of the solemn pomposity with which he spoke , would be golf .
180176	who is nonetheless TRUE	who	PRON	who	nsubj	girl	an American girl	(10, 13)	('true', '!')	an all-American girl too good to be true who is nonetheless TRUE !
180177	who 'd been his friend	who	PRON	who	nsubj	Shanks	Tobias Shanks	(27, 31)	(',', ',')	Before falling in love with Sunny Burhman , and dis- cussing his religious doubts with her , Zachary had often discussed them with Tobias Shanks , who 'd been his friend , you might say his only friend , since seventh grade .
180178	which was church - affiliated	which	DET	which	nsubj	College	Muhlenberg College	(12, 16)	(',', ';')	Z ACHARY 'S PARENTS urged him to go to Muhlenberg College , which was church-affiliated ; Zachary hoped to go elsewhere .
180179	that can alter	that	DET	that	nsubj	inspiration	inspiration	(22, 24)	('inspiration', ',')	"Then , one day , her teacher had said to all the class , in one of those moments of inspiration that can alter , by whim , the course of an entire life , "" Tell you what , boys and girls : let 's call Barbara Sunny ' from now on ?"
180180	which appeared , in the semi - dark , opaque	which	DET	which	nsubj	lenses	the lenses	(15, 24)	(',', '.')	## seeing not Zachary Graff 's eyes but the lenses of his glasses , which appeared , in the semi-dark , opaque .
180181	that were less incriminating	that	DET	that	nsubj	others	some others	(12, 15)	('others', '.')	, I do n't know -- I 'd thrown away some others that were less incriminating .
180182	that Buffy stirred into our milk in the morning	Buffy	PROPN	that	dobj	Ovaltine	the Ovaltine	(8, 16)	('Ovaltine', '.')	Night runs into day like the Ovaltine that Buffy stirred into our milk in the morning .
180183	that would get her outside , in the woods	that	DET	that	nsubj	something	something	(24, 32)	('something', ',')	"And many a hunter had hung up her gun , and taken up , say , jogging , or tai chi -- something that would get her outside , in the woods , on a hilltop -- and in solitude , maybe whispering , she 'd chant , "" S-U-C-C-E-S-S ."
180184	that littered the Silver Dollar 's floor	that	DET	that	nsubj	shells	the peanut shells	(28, 34)	('shells', '.')	And they kept on coming , the door swinging and banging against the wall , their little rubber-soled feet tap-tapping through the peanut shells that littered the Silver Dollar 's floor .
180185	that stretched ahead of me	that	DET	that	nsubj	future	the bleak future	(16, 20)	('future', ',')	On about Wednesday , I was sitting listlessly in the sun , contemplating the bleak future that stretched ahead of me , when I heard someone coming .
