	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
129961	which was not landbound	which	DET	which	nsubj	beauty	daily , blazoned beauty	(6, 9)	('beauty', '.')	daily , her mirror blazoned beauty which was not landbound.
129962	who sings the rain for you	who	PRON	who	nsubj	cloud	a cloud	(6, 11)	('cloud', ';')	I hold myself into a cloud who sings the rain for you ; my pulse playing drops on the roof top , on the porch .
129963	which shade me deep and hard	which	DET	which	nsubj	fingerprints	fingerprints	(8, 13)	('glass', '.')	My words are specks of fingerprints on glass which shade me deep and hard .
129964	in which I used different techniques to create alternately rough and smooth surfaces	I	PRON	which	pobj	form	an abstract form	(19, 31)	('in', 'It')	Then one day , a month ago I thought of my last piece : an abstract form in which I used different techniques to create alternately rough and smooth surfaces .
129965	who gives the most to you	who	PRON	who	nsubj	person	the person	(12, 17)	('person', 'inevitably')	""" I looked down at my stomach and wondered why the person who gives the most to you inevitably becomes the most irritating person you know thirty years later . """
129966	who suddenly gave I thought what was a violent kick	what	PRON	who	nsubj	baby	the baby	(23, 32)	(',', '.')	""" I hollered , intentionally mispronouncing the name . "" He 's just a jerk , "" I told the baby , who suddenly gave what I thought was a violent kick . """
129967	who was planning a trip to meet her granddaughter in the summer	who	PRON	who	nsubj	mother	especially Phillip old mother	(54, 65)	(',', '.')	The baby slept most of the time ; when she was awake , I wanted to be with her every second , kissing her toes , tickling her , and taking endless pictures to send to faraway relatives , especially Phillip 's eighty-five-year-old mother in Florida , who was planning a trip to meet her granddaughter in the summer .
129968	which took place two months after Colette was born	which	DET	which	nsubj	Phillip	Phillip	(47, 55)	(',', '.')	I was n't really making much of anything : bookends and a tiny set of furniture for the shelves in the nursery , and an ethnically accurate little bride and groom to sit on top of the sheet cake at Phillip 's and my small wedding , which took place two months after Colette was born .
129969	who knew when we would ever see each other	we	PRON	who	nsubj	floor	the empty dance floor	(26, 34)	('floor', ',')	Who knew where your loose energy came from some sarcophagus of revelation recently opened , shut , opened Swirling and playing on the empty dance floor who knew when we would ever see each other ,
129970	that deemed she was a member of a caste of lowly , unwinning have - nots	she	PRON	that	nsubj	society	an unyielding society	(16, 31)	('society', '.')	but she was greatly over-powered by the magnitude of pressures from an unyielding society that deemed she was a member of a caste of lowly , unwinning have-nots.
129971	who seeks asylum in Shangri - La with a female Hindu guru	who	PRON	who	nsubj	bowled	the - bowled	(22, 33)	('-', '.')	when she 's skiing at Alta , will fictionalize or elide the daughter - patchouli-gauzed and beggar-bowled - who seeks asylum in Shangri-La with a female Hindu guru .
129972	who wanted four lilies	who	PRON	who	nsubj	man	the man	(7, 10)	('man', ',')	Death , said Yoko to the man who wanted four lilies , while Judith and I , holding her vases , stood listening .
129973	that could break	that	DET	that	nsubj	nothing	nothing	(24, 26)	('nothing', '.')	what I needed to know is told in the matrix our bodies make : the child sleeping , held together , by nothing that could break .
129974	that fell out of the ears , nose , eyes , and mouth	that	DET	that	nsubj	clumps	the clumps	(5, 17)	('rock', 'are')	And the clumps of rock that fell out of the ears , nose , eyes , and mouth are now some of the tallest mountains in the world .
129975	who lived on earth	who	PRON	who	nsubj	two	the only two	(5, 8)	('two', '.')	They were the only two who lived on earth .
129976	"that said , "" Help me , "" like a picture in some children 's fund brochure , and it was made worse by a black eye from spilling Daddy 's beer"	that	DET	that	nsubj	look	a look	(4, 35)	('look', '.')	"It was a look that said , "" Help me , "" like a picture in some children 's fund brochure , and it was made worse by a black eye from spilling Daddy 's beer ."
129977	on which she wrote her name , her title , her phone number and address	she	PRON	which	pobj	pieces	pieces	(13, 27)	('on', 'She')	They consisted of small , evenly cut pieces of construction paper on which she wrote her name , her title , her phone number and address .
129978	who called -	who	PRON	who	nsubj	guy	the guy	(3, 5)	('guy', 'and')	You the guy who called -
129979	who ate people as readily as she ate chicken	she	PRON	who	nsubj	woman	a wild old woman	(14, 22)	('woman', '.')	Now , Baba Yaga was known far and wide as a wild old woman who ate people as readily as she ate chicken .
129980	which quickly did the work and carried away the meal	which	DET	which	nsubj	sets	three sets	(11, 20)	('hands', '.')	""" Out of thin air appeared three sets of hands which quickly did the work and carried away the meal ."
129981	which stayed lit	which	DET	which	nsubj	fire	a fire	(16, 18)	('fire', '.')	@ of what she 'd done , and used the glowing skull to light a fire which stayed lit .
129982	that rises from the Earth , into us	that	DET	that	nsubj	power	the power	(3, 10)	('power', '...')	Feel the power that rises from the Earth , into us ... part of us ...
129983	that rises above us and below us	that	DET	that	nsubj	wall	a wall	(5, 11)	('wall', '.')	Visualize it as a wall that rises above us and below us .
129984	who died	who	PRON	who	nsubj	those	all those	(3, 4)	('those', ',')	For all those who died , stripped naked , raped and bound : We honor dignity , the right of all .
129985	who screamed in vain for mercy	who	PRON	who	nsubj	those	all those	(3, 8)	('those', ':')	For all those who screamed in vain for mercy : <p
129986	that bring wholeness	that	DET	that	nsubj	skills	the skills	(19, 21)	('skills', '.')	For all executed not for harming , but for healing : We honor the green way , the skills that bring wholeness .
129987	who died outspoken , cursing and raging < p	who	PRON	who	nsubj	those	all those	(3, 11)	('those', '>')	For all those who died outspoken , cursing and raging <p
129988	who advised in matters of this < p > world or the next	who	PRON	who	nsubj	counselors	those counselors	(3, 15)	('counselors', ':')	For those counselors who advised in matters of this <p> world or the next : We will remember .
129989	who burned	who	PRON	who	nsubj	those	those	(2, 3)	('those', ',')	For those who burned , were hung , drowned , or simply disappeared : We will remember .
129990	that beautify the night	that	DET	that	nsubj	stars	the stars	(6, 9)	('stars', ',')	For the glory of the stars that beautify the night , Great Spirit , we thank you .
129991	who see you	who	PRON	who	nsubj	All	All	(6, 8)	('All', ',')	Armed with weapons and grace All who see you , fear the flashing blades The severed heads and hands Of your careless play .
129992	that made electronic controls for air conditions	that	DET	that	nsubj	plant	a plant	(26, 32)	('plant', '.')	Brimming with self-confidence and new-found muscles , I moved to Milwaukee with a friend from college and found work in a plant that made electronic controls for air conditions .
