	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
105531	who is asleep on her lap )	who	PRON	who	nsubj	child	child	(14, 20)	('child', '<')	> Photograph ( Woman outdoors , sitting on a makeshift bed , holding child who is asleep on her lap )
105532	which brought a slight look of relief into their faces	which	DET	which	nsubj	Karlshamn	Karlshamn	(18, 27)	(',', '.')	I used to go into a long story about far-far 's far coming from Karlshamn , which brought a slight look of relief into their faces .
105533	that extends to just above bare feet	that	DET	that	nsubj	smock	a white smock	(5, 11)	('smock', '.')	Each wears a white smock that extends to just above bare feet .
105534	that holds wedges of cheese , a bottle of wine , and three glasses	that	DET	that	nsubj	tray	a tray	(8, 21)	('tray', '.')	A waiter enters the room carrying a tray that holds wedges of cheese , a bottle of wine , and three glasses .
105535	that followed	that	DET	that	nsubj	war	the long , brutal war	(17, 18)	('war', '-')	His account of the growing tensions between Sparta and Athens-and the long , brutal war that followed-is one of the greatest historical accounts ever .
105536	who takes no interest in public affairs as a useless citizen	who	PRON	who	nsubj	man	a man	(5, 15)	('man', '.')	We alone regard a man who takes no interest in public affairs as a useless citizen .
105537	that fought each other for nearly 30 years	that	DET	that	nsubj	ones	ones	(6, 13)	('ones', ';')	states in ancient Greece , ones that fought each other for nearly 30 years ;
105538	that are missing from the board	that	DET	that	nsubj	words	words	(15, 20)	('phrases', '.')	After reading and discussing the play , ask students to name words or phrases that are missing from the board .
105539	who tell the story Mrs. Fletcher : a history teacher Reese : a high school junior Jon : a high school junior Tonya	who	PRON	who	nsubj	people	people	(9, 31)	('people', ':')	##1008630 Narrators 1 and 2 : people who tell the story Mrs. Fletcher : a history teacher Reese : a high school junior Jon : a high school junior Tonya : Jon 's girlfriend Seth : Jon 's younger brother Scene 1 Narrator 1 :
105540	that snowboarders perform above the snow	snowboarders	NOUN	that	dobj	circle	a complete circle	(12, 17)	('circle', '.')	He wants to practice his 360 air , a complete circle that snowboarders perform above the snow .
105541	who had died	who	PRON	who	nsubj	sister	Scrooge beloved sister	(9, 11)	(',', '.')	""" It was Scrooge 's beloved sister , who had died ."
105542	which was the army of the new nation	which	DET	which	nsubj	Army	the Continental Army	(8, 15)	(',', '.')	General George Washington led the Continental Army , which was the army of the new nation .
105543	who served his new land with honor	who	PRON	who	nsubj	patriot	a War patriot	(7, 13)	('patriot', '.')	But he was a Revolutionary War patriot who served his new land with honor .
105544	who sent him to America to get an education	who	PRON	who	nsubj	parents	wealthy parents	(8, 16)	('parents', '.')	Whipple was born in Africa to wealthy parents who sent him to America to get an education .
105545	who served his new land with honor	who	PRON	who	nsubj	patriot	a War patriot	(7, 13)	('patriot', '.')	But he was a Revolutionary War patriot who served his new land with honor .
105546	who are fighting for the British	who	PRON	who	nsubj	soldiers	those German soldiers	(6, 11)	('soldiers', '?')	You mean those German soldiers who are fighting for the British ?
105547	that led up to Washington 's defeat of the Hessians at Trenton on December 26 , 1776	that	DET	that	nsubj	skirmishes	those skirmishes	(8, 24)	('skirmishes', '.')	This map shows the locations of those skirmishes that led up to Washington 's defeat of the Hessians at Trenton on December 26 , 1776 .
105548	that occurred daily in South Africa in February , 1999	that	DET	that	nsubj	dozens	dozens	(10, 19)	('dozens', '.')	IT WAS A VIOLENT MUGGING , no different from dozens that occurred daily in South Africa in February , 1999 .
105549	that had oppressed blacks , coloureds and Asians for generations under apartheid	that	DET	that	nsubj	elite	the African European elite	(32, 43)	('elite', '.')	I was an Aboriginal Canadian , but to him I was just one more rich white man , of the same race and social status as the South African European elite that had oppressed blacks , coloureds and Asians for generations under apartheid .
105550	that broke my nose	that	DET	that	nsubj	blow	a blow	(4, 7)	('blow', '.')	He delivered a blow that broke my nose .
105551	that I was a human being	I	PRON	that	advmod	time	the first time	(13, 18)	('time', '.')	He looked at me carefully , perhaps seeing for the first time that I was a human being .
105552	who are victims of crime when abroad must follow	abroad	ADV	who	nsubj	diplomats	all Canadian diplomats	(15, 23)	('diplomats', ':')	The departmental press officer called to remind me of the unwritten code all Canadian diplomats who are victims of crime when abroad must follow : play down the gravity of the incident to avoid offending the host government .
105553	that has	that	DET	that	nsubj	twostory	a down twostory	(46, 47)	('dwelling', 'the')	"<p> Chuuch-the name reflects Snoop 's ghettoized pronunciation of the word church ( sounds like "" chuhch "" ) -- is the most modest of the rappers three L.A.-area homes , a slightly down-at-the-heels twostory dwelling that has the kick-"
105554	that has nothing to do with the public , my fans ,	that	DET	that	nsubj	decision	a personal decision	(6, 17)	('decision', 'whatever')	""" That 's a personal decision that has nothing to do with the public , my fans , whatever ."
