	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
146906	that we Want	we	PRON	that	dobj	things	things	(8, 10)	('things', ',')	We are women , we have things that we Want , we will have the courage To go for , we Will No Longer sit back and WATCH
146907	that come here to trade with us	that	DET	that	nsubj	ships	The ships	(2, 8)	('ships', 'have')	The ships that come here to trade with us have no women sailors
146908	that shone over Crete	that	DET	that	nsubj	moon	the same moon	(16, 19)	('moon', '.')	No matter where I am , Lily thought , I can look at the same moon that shone over Crete .
146909	which were supposed to make her face look less pale and circular	face	NOUN	which	nsubjpass	frames	bright blue rectangular frames	(9, 20)	(',', '.')	The glasses had bright blue rectangular frames , which were supposed to make her face look less pale and circular .
146910	who got me into it	who	PRON	who	nsubj	woman	the woman	(9, 13)	('woman', 'told')	"And as an extra little inducement , the woman who got me into it told me being an AIDS buddy would change my life . """
146911	who turned into a young woman if you stared at her long enough	you	PRON	who	nsubj	woman	an old woman	(24, 36)	('woman', '.')	Henry was still smiling , but his face seemed to be changing , like a reversible picture she had seen of an old woman who turned into a young woman if you stared at her long enough .
146912	who had left in a rage when Henry admitted he still had other lovers	he	PRON	who	nsubj	Dan	Dan	(18, 31)	(',', '.')	Few gay men did in those days , he was saying , though there was Dan , who had left in a rage when Henry admitted he still had other lovers .
146913	who gave her a quizzical glance	who	PRON	who	nsubj	Henry	Henry	(10, 15)	(',', '.')	Mona murmured , surprising herself as well as Henry , who gave her a quizzical glance .
146914	who hardly seemed the type to go around touching people and certainly had never touched Mona before	who	PRON	who	nsubj	Reid	Reid	(6, 22)	(',', ',')	A moment later Reid , who hardly seemed the type to go around touching people and certainly had never touched Mona before , was touching her on the shoulder , making her nearly jump out of her seat .
146915	which felt warm and strong , as if his closest connection to death were the murder mysteries she kept bringing	she	PRON	which	nsubj	hand	his hand	(6, 25)	(',', '.')	""" Mona clasped his hand , which felt warm and strong , as if his closest connection to death were the murder mysteries she kept bringing ."
146916	who came every morning	who	PRON	who	nsubj	aide	a health aide	(7, 10)	('aide', '.')	There was a home-health aide who came every morning .
146917	who often dropped by after work	who	PRON	who	nsubj	salesman	a natured shoe salesman	(12, 17)	('salesman', '.')	There was also Gary , a good-natured shoe salesman who often dropped by after work .
146918	who was gazing at the chart	who	PRON	who	nsubj	Reid	Reid	(15, 20)	(',', '.')	The way I did to Henry , Mona thought , gazing at Reid , who was gazing at the chart .
146919	whose strength rebuffed tropical disturbances	strength	NOUN	whose	poss	high	the Bermuda high	(22, 26)	('high', '.')	Eighteen years in California , and she remained impervious to its ideas and jargon ; she was like the Bermuda high whose strength rebuffed tropical disturbances .
146920	who fell in love with anyone crossing his path	who	PRON	who	nsubj	sort	the sort	(4, 12)	('person', '.')	the sort of person who fell in love with anyone crossing his path .
146921	that almost hit the screen	that	DET	that	nsubj	gesture	a large emphatic gesture	(15, 19)	('gesture', '.')	""" Oh , no , "" said Mona , with a large emphatic gesture that almost hit the screen ."
146922	that lasted just long enough for her to notice it	her	PRON	that	nsubj	hope	wild hope	(16, 25)	('hope', '.')	Now Reid looked almost dizzy with happiness , and Mona had a flare of wild hope that lasted just long enough for her to notice it .
146923	that pass here for Canis familiarus	that	DET	that	nsubj	rodents	those little rodents	(19, 24)	('rodents', '.')	There 's a profusion of couples and dog walkers on the block-dog walkers with those little rodents that pass here for Canis familiarus .
146924	who mousses his hair and drives a Jeep Wrangler , her apartment --	who	PRON	who	nsubj	trader	a trader	(28, 40)	('trader', 'frayed')	One night while this analyst , Nina , is in a bar on the Upper East Side with a guy wearing a Jerry Garcia tie , a trader who mousses his hair and drives a Jeep Wrangler , her apartment -- frayed screen and open window serving as the method of ingress -- will be robbed .
146925	that will spike through her like 220 volts of household current	that	DET	that	nsubj	second	a second	(78, 88)	('second', '.')	In the bar , in fact , she will be having a first kiss with this trader , and the lighting will be low , and she will be playing with the wax from the table candle , and then they will reach for each other -- their hands crawling across the table , fingers meshing ; their faces falling together , their lips colliding -- and she will feel a ripple of contentment for a second that will spike through her like 220 volts of household current .
146926	that children are no more than bloodthirsty dwarfs	children	NOUN	that	mark	friend	a friend	(12, 19)	('friend', ',')	At the party Eleanor will have loudly remarked to a friend that children are no more than bloodthirsty dwarfs , and this glib lie will have set Max off .
146927	that would result as savings	that	DET	that	nsubj	money	the money	(9, 13)	('money', '.')	Mars shot could be developed with the money that would result as savings .
146928	that were complete fakes	that	DET	that	nsubj	faxes	over sixty faxes	(14, 17)	('faxes', '.')	"But , "" I said , "" we 've had over sixty faxes that were complete fakes ."
146929	that existed	that	DET	that	nsubj	one	every one	(21, 22)	('one', '.')	We have books lined round the office , floor to ceiling , with pictures of every one imaginable , every one that existed .
146930	which it curled neatly around its feet	it	PRON	which	dobj	tail	a thin tail	(17, 23)	('tail', '.')	It had green eyes , long hairs growing out of its cheeks and a thin tail which it curled neatly around its feet .
146931	who ever saw it	who	PRON	who	nsubj	person	the last person	(8, 11)	('person', ',')	She may have been the last person who ever saw it , and she wished with all her heart
146932	that was n't him	that	DET	that	nsubj	something	something	(6, 9)	('something', 'moved')	Something stirred the air , something that was n't him moved with a mind of its own .
146933	that makes him happy	him	PRON	that	nsubj	something	something	(5, 8)	('something', '.')	he 's got to something that makes him happy .
146934	that mean customs and immigration can just fuck right off as far as we 're concerned , and I could mobilize an entire army if I had a good enough lead .	I	PRON	that	nsubj	Passes	Intercontinent Passes	(4, 35)	('Passes', 'Nothing')	We have Intercontinent Passes that mean customs and immigration can just fuck right off as far as we 're concerned , and I could mobilize an entire army if I had a good enough lead .
146935	that was the same at both ends	that	DET	that	nsubj	street	a long street	(8, 14)	('street', '.')	It was like walking down a long street that was the same at both ends .
146936	who got to an animal before we did	we	PRON	who	nsubj	Someone	Someone	(1, 8)	('Someone', 'could')	Someone who got to an animal before we did could have set their own price .
