	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
137523	who came damn close to winning a Grammy	who	PRON	who	nsubj	tunes	liberal folk tunes	(21, 28)	('tunes', '.')	Until about seven years ago she and two fellows were the Scattergood Singers , very successful singers of liberal folk tunes who came damn close to winning a Grammy .
137524	who felt the group should be called Edmond , Fred and Mavis	who	PRON	who	nsubj	player	the new banjo player	(11, 22)	(',', '.')	Only snag was Edmond Scully , the new banjo player , who felt the group should be called Edmond , Fred and Mavis .
137525	who 's a real stud	who	PRON	who	nsubj	Edmond	Especially Edmond	(3, 7)	(',', 'but')	Especially Edmond , who 's a real stud
137526	that can convert an average gink like you into a crackerjack fighting man	that	DET	that	nsubj	device	a device	(6, 18)	('device', '.')	He 's developed a device that can convert an average gink like you into a crackerjack fighting man .
137527	which caused him to let go	him	PRON	which	nsubj	man	the big man	(13, 18)	(',', '.')	To my surprise , I kneed the big man in the groin , which caused him to let go .
137528	who 's cuckolding you	who	PRON	who	nsubj	lad	the lad	(19, 22)	('lad', '.')	"We 'll help you get going and show you how to zero in on her and the lad who 's cuckolding you . """
137529	who first intruded	who	PRON	who	nsubj	one	the one	(6, 8)	('one', '.')	""" You were the one who first intruded . """
137530	who claimed to be with the NCB	who	PRON	who	nsubj	person	The last person	(4, 10)	('person', ',')	""" The last person who claimed to be with the NCB , "" I cut in as I gathered up the fallen flapjacks , "" turned out to be a phony and so- """
137531	who gave me backrubs	who	PRON	who	nsubj	nurse	the nurse	(9, 12)	('nurse', '.')	"we really must- "" "" Huh , the nurse who gave me backrubs . """
137532	I alluded to earlier did n't commence that until about a week after we 'd rescued Dowling	we	PRON	that	pobj	Ginger	Ginger	(2, 18)	('Ginger', '.')	Ginger that I alluded to earlier did n't commence until about a week after we 'd rescued Dowling .
137533	he assumed that covered an observation window	that	SCONJ	that	nsubj	curtain	On , a curtain	(10, 16)	('curtain', '.')	On the wall opposite his bed , a curtain that he assumed covered an observation window .
