	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
113299	who 'll send an e - mail then phone to see if she 's received it	who	PRON	who	nsubj	mother	her mother	(18, 33)	(',', '.')	Cyberspace is one of the things Annie used to have faith in , unlike her mother , who 'll send an e-mail then phone to see if she 's received it .
113300	that run next to real estate ads in the local weekly	that	DET	that	nsubj	essays	comic essays	(31, 41)	('essays', '.')	Annie 's mother works at home , too , at her kitchen table , writing travel stories ( gleaned from the Internet , not from actual travel ) and comic essays that run next to real estate ads in the local weekly .
113301	who seemed to think the girls were coming from China	girls	NOUN	who	nsubj	gift	a gift	(19, 28)	('mother', ')')	> Pampers , sizes 1 and 2 <p> 2 stuffed pandas ( a gift from her mother who seemed to think the girls were coming from China ) <
113302	that always eluded her	that	DET	that	nsubj	number	the number	(6, 9)	('number', '.')	A variable , the number that always eluded her .
113303	that makes babies sleep and	babies	NOUN	that	nsubj	voice	her careful voice	(8, 12)	('voice', 'repairmen')	""" She 's switched to her careful voice that makes babies sleep and repairmen come on time ."
113304	that begins with	that	DET	that	nsubj	conversation	any conversation	(3, 5)	('conversation', 'I')	how any conversation that begins with I 'm OK must really mean I 'm not OK .
113305	who had failed to reach the roof and could not descend because of intensifying smoke	who	PRON	who	nsubj	civilians	civilians	(9, 23)	('civilians', 'became')	By 9:30 a.m. , a number of civilians who had failed to reach the roof and could not descend because of intensifying smoke became trapped on the 105th floor .
113306	which Annie grabbed on the first ring , to say he 'd gotten out ,	he	PRON	which	dobj	time	A second time	(5, 19)	(',', 'down')	A second time , which Annie grabbed on the first ring , to say he 'd gotten out , down all those stairs , but was going back up .
113307	that was n't up my nose	that	DET	that	nsubj	one	the one	(9, 14)	('one', ',')	""" Doggy took his free hand , the one that was n't up my nose , and slapped the guy in the face , never even stopping ."
113308	who wear those bandannas	who	PRON	who	nsubj	guys	guys	(4, 7)	('guys', ',')	""" I hate guys who wear those bandannas , "" Doggy said ."
113309	who was , as usual	who	PRON	who	nsubj	Walker	Doc Walker	(17, 21)	(',', ',')	""" I fixed up your dad the other day , Tommy , "" said Doc Walker , who was , as usual , offering up a serious case of halitosis ."
113310	that cover your mouth	that	DET	that	nsubj	masks	those little masks	(15, 18)	('masks', '?')	( What , he ca n't spend a dime for one of those little masks that cover your mouth ? )
113311	to whom Pop bore a striking resemblance	Pop	NOUN	whom	pobj	manner	the manner	(25, 31)	('to', 'He')	Maybe he was trying to make me over in his image , rearrange my face in the manner of Mr. Potato Head , to whom Pop bore a striking resemblance .
113312	which had been almost as orange as her outfit	which	DET	which	nsubj	spray	her spray	(11, 19)	(',', '.')	She turned white through her spray-on tan , which had been almost as orange as her outfit .
113313	that came where from	that	DET	that	nsubj	more	more	(5, 8)	"('where', '""')"	""" I got more where that came from . """
