	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
97400	who everyone called Matt	everyone	PRON	who	dobj	husband	her husband	(23, 26)	(',', ',')	Her name was Bertha and she lived in a small cabin , deep in the forest , with her husband Matthew , who everyone called Matt , and her children .
97401	who was like a second mom to the young ones and helped Bert with skinning when the traps were full	traps	NOUN	who	nsubj	Martha	Martha	(3, 22)	('Martha', '.')	Next came Martha who was like a second mom to the young ones and helped Bert with skinning when the traps were full .
97402	that rushed along through the ravine behind the cabin	that	DET	that	nsubj	creek	the creek	(13, 21)	('creek', '.')	She could easily carry two pails full of fresh water from the creek that rushed along through the ravine behind the cabin .
97403	that returned each spring	that	DET	that	nsubj	geese	the geese	(19, 22)	('geese', '.')	Matt snored in their bed in the corner , content under the quilt made with feathers from the geese that returned each spring .
97404	that always was	that	DET	that	nsubj	time	What a great time	(5, 7)	('time', ',')	What a great time that always was , the King Salmon running , turning the river red and silver as they passed , some swimming around the entrance to the fishtrap , rushing on their way , knowing exactly the path to their birthplace .
97405	that taken with the idea of visiting a city anyway	that	DET	that	nsubj	all	all	(5, 14)	('all', '.')	> Bertha was n't all that taken with the idea of visiting a city anyway .
97406	who lived in the water	who	PRON	who	nsubj	ones	the ones	(19, 23)	('ones', '.')	Grandma told of two small boys taken down to the edge of the lake to learn about the ones who lived in the water .
97407	whose father was a principal and did n't yell at her	father	NOUN	whose	poss	Jackson	Catherine Jackson	(7, 17)	('Jackson', '.')	She usually sat with Catherine Jackson whose father was a principal and did n't yell at her .
97408	which was hard to hold while the jagged teeth of the handsaw tore mercilessly into its smooth black plastic surface	teeth	NOUN	which	nsubj	pipe	the inch diameter pipe	(14, 33)	(',', '.')	For two days she had been cutting the three-inch diameter pipe , which was hard to hold while the jagged teeth of the handsaw tore mercilessly into its smooth black plastic surface .
97409	who seemed not to notice her awkwardness or ignorance	who	PRON	who	nsubj	man	the only man	(10, 18)	('for', '.')	Chuck Johnson was the only man she 'd worked for who seemed not to notice her awkwardness or ignorance .
97410	that had recurred often during her apprenticeship	that	DET	that	nsubj	feeling	a feeling	(5, 11)	('feeling', ';')	"It was a feeling that had recurred often during her apprenticeship ; she remembered the first "" worst "" time .... <p>"
97411	who 'd said to her offhandedly	who	PRON	who	nsubj	Ron	Ron	(8, 13)	(',', ',')	"She had been assigned to Ron , who 'd said to her offhandedly , "" Come on , we have to go get some four-inch cast iron pipe ; we 'll take the truck . """
97412	that had the stick in the steering column and was impossible to shift into second gear	that	DET	that	nsubj	vintage	1930 vintage	(17, 32)	('vintage', '.')	"The "" truck "" was an old , beat-up , rusted , 1930 's vintage that had the stick in the steering column and was impossible to shift into second gear ."
97413	that determined she was able what to do in the next few moments	she	PRON	that	nsubj	commingling	a commingling	(12, 24)	('frustration', '.')	It was a commingling of pride , anger , pain and frustration that determined what she was able to do in the next few moments .
97414	that led to the school coordinator 's office	that	DET	that	nsubj	corridor	the darkened corridor	(9, 16)	('corridor', '.')	, she found herself walking down the darkened corridor that led to the school coordinator 's office .
97415	that I bought for you	I	PRON	that	dobj	berries	The berries	(3, 7)	('berries', 'sit')	The berries that I bought for you sit forgotten , softly slipping past their recent prime ,
97416	who sits , waiting for me to speak first	me	PRON	who	nsubj	passion	my passion	(9, 17)	('passion', '.')	Awake , I turn to stare at my passion who sits , waiting for me to speak first .
97417	that opens onto the porch where her mother and sister are sitting	mother	NOUN	that	nsubj	doorway	the bright doorway	(24, 35)	('doorway', '.')	fill and sets the glass down , then walks slow as a cat across the kitchen and down the hall to the bright doorway that opens onto the porch where her mother and sister are sitting .
97418	that covers me	that	DET	that	nsubj	night	the night	(7, 9)	('night', '<')	<p> Out of the night that covers me <p
97419	that will take years to correct	that	DET	that	nsubj	rawness	a rawness	(7, 12)	('her', '.')	There 's a rawness to her that will take years to correct .
97420	that makes her do it	her	PRON	that	nsubj	something	something	(6, 10)	('else', ',')	He thinks it 's something else that makes her do it , and his fine lean face confesses everything , asks everything .
97421	that ruled it	that	DET	that	nsubj	ship	the ship	(19, 21)	('ship', '.')	She turns to the far-rolling fields she used to dream an ocean , this house the ship that ruled it .
97422	that will be on trial < p >	that	DET	that	nsubj	position	her position	(6, 13)	"('position', ""'"")"	But it 's her position that will be on trial <p> '
97423	that was more than a few days past	that	DET	that	nsubj	most	most	(11, 18)	('most', '.')	She lay blurred in his memory , but so did most that was more than a few days past .
97424	that turned the rivers to mudflows and uncovered bedrock to the sky	that	DET	that	nsubj	rains	rains	(19, 30)	('rains', '.')	Their world was what it was , hot , harsh , mostly parched and bare , scoured by rains that turned the rivers to mudflows and uncovered bedrock to the sky .
97425	in which they had dwelt	they	PRON	which	pobj	shelter	the brush shelter	(25, 29)	('in', 'Whenever')	Unsure what to do about the body , he finally dragged it behind a fallen tree at a distance from the brush shelter in which they had dwelt .
97426	that beclouded and feasted on his nakedness	that	DET	that	nsubj	mosquitoes	the mosquitoes	(7, 13)	('mosquitoes', ';')	He paid no attention to the mosquitoes that beclouded and feasted on his nakedness ; as for ticks and leeches , he plucked them off and swallowed them , ignoring the festering sores where their heads were stuck .
97427	that is also an important greenhouse gas	that	DET	that	nsubj	vapor	the water vapor	(8, 14)	('vapor', '.')	They locked up most of the water vapor that is also an important greenhouse gas .
97428	that stretched on southward	that	DET	that	nsubj	tundra	the tundra	(35, 38)	('tundra', '.')	In summer at its edge , streams rushed down the cliffs and out of the caves , down to gurgle among stones , make the ground a bog , and lose themselves in the tundra that stretched on southward .
97429	that washed soil down the rivers into the seas	that	DET	that	nsubj	erosion	The erosion	(2, 10)	('erosion', 'nourished')	The erosion that washed soil down the rivers into the seas nourished them .
97430	which roots anchored	roots	NOUN	which	det	loam	loam	(15, 17)	(',', '.')	Meanwhile its forces weathered rock and carried in organic matter to make loam , which roots anchored .
97431	that had encroached again after the rain belts moved back north	belts	NOUN	that	nsubj	desolation	the desolation	(11, 21)	('desolation', '.')	identifiably artificial stumps of the Pyramids stood in the desolation that had encroached again after the rain belts moved back north .
97432	that gnawed at everything else	that	DET	that	nsubj	forces	the forces	(7, 11)	('forces', '.')	Whatever struck ground fell to the forces that gnawed at everything else .
97433	which kept a wisp of atmosphere and was nearer the asteroid belt	which	DET	which	nsubj	Mars	Mars	(9, 20)	(',', ',')	> Destruction went a little faster on Mars , which kept a wisp of atmosphere and was nearer the asteroid belt , but only a little .
97434	that reached it	that	DET	that	nsubj	all	all	(6, 8)	('all', ',')	Jupiter had almost instantly reduced all that reached it , and Venus had done so within decades .
97435	that held steady from tropical rain forests to the mild northern and southern fringes of the continents	that	DET	that	nsubj	climates	climates	(11, 27)	('climates', '.')	Otherwise it was benign , the source and guardian of climates that held steady from tropical rain forests to the mild northern and southern fringes of the continents .
97436	that ran into the hundreds of millions of years	that	DET	that	nsubj	periods	periods	(12, 20)	('periods', '.')	some radiated into fresh kinds while some kept virtually unchanged for periods that ran into the hundreds of millions of years .
