	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
122205	of which he spent as an orderly - room sergeant in Guam	he	PRON	which	pobj	part	the better part	(14, 25)	('of', 'he')	Because when he got out of the Army , the better part of which he spent as an orderly-room sergeant in Guam , he had been offered a job at H.J. Kramer Metals , Inc. , owned by his mother 's brother Henry .
122206	who were perfectly simpatico	who	PRON	who	nsubj	couples	couples	(17, 20)	('couples', '.')	Somehow or other , at home or on one of their vacation cruises , she found couples who were perfectly simpatico .
122207	who managed to strike a note of insufferable knowingness in everything he said	he	PRON	who	nsubj	lawyer	a injury lawyer	(11, 23)	('lawyer', ',')	As for their son Larry , a personal-injury lawyer who managed to strike a note of insufferable knowingness in everything he said , Dubinsky tried not to be around him any more than was absolutely necessary .
122208	who worked for them	who	PRON	who	nsubj	people	the people	(16, 19)	('people', 'was')	Everywhere , he said , the mutual pact of loyalty between business institutions and the people who worked for them was breaking down ; but not yet at Kramer Metals .
122209	which gave him a chance to see his grandchildren Tyler and Justin , both now in high school	which	DET	which	nsubj	dinner	night dinner	(16, 33)	(',', '.')	Since Grace 's death , Dubinsky had a standing invitation to Friday-night dinner , which gave him a chance to see his grandchildren Tyler and Justin , both now in high school .
122210	who cleaned the apartment	who	PRON	who	nsubj	woman	the Polish woman	(20, 23)	('woman', ',')	Then there was the occasional medical or dental appointment , and every other Thursday , Krystyna , the Polish woman who cleaned the apartment , appeared at 9:30 .
122211	that talk	that	DET	that	nsubj	all	all	(18, 19)	('all', 'now')	""" Look here , honey , "" Mrs. Hampton said , "" I think you can stop all that talk now ."
122212	who sounded , if truth be told , as if she were Jewish	she	PRON	who	nsubj	woman	a black woman	(20, 32)	('woman', '.')	He wondered , in fact , what she would have thought of his being at lunch with a black woman who sounded , if truth be told , as if she were Jewish .
122213	who controls the role she craves the most	she	PRON	who	nsubj	writer	the handsome , stubborn writer	(23, 30)	('writer', '.')	No man can resist the charms of stunning movie-star Tessa Kent-except , perhaps , the handsome , stubborn writer who controls the role she craves the most .
122214	who wrote it	who	PRON	who	nsubj	guy	The guy	(3, 5)	('guy', ',')	""" The guy who wrote it , Elliott S. Conway , is a history professor at Columbia with a major ivory-tower attitude ."
122215	that reads like a novel	that	DET	that	nsubj	biography	a biography	(4, 8)	('biography', ',')	"You wrote a biography that reads like a novel , and now you 're thinking like a historian . """
122216	that helps millions of nonreading women gain the literacy skills they need to help themselves and their families	they	PRON	that	nsubj	organization	an organization	(26, 43)	('organization', '.')	"Whenever you order books seen in Cosmo from Books Now , we will donate 15 percent of sales to Literacy Partners , Inc. , an organization that helps millions of nonreading women gain the literacy skills they need to help themselves and their families . 
"
122217	that have been - and continue to be - an essential aspect of the Native American culture	that	DET	that	nsubj	traditions	the traditions	(17, 33)	('stories', '.')	Unlike other diabetes education programs , NADP interweaves its health message with the traditions and stories that have been-and continue to be-an essential aspect of the Native American culture .
122218	that said :	that	DET	that	nsubj	calendar	only a calendar	(12, 14)	('calendar', 'Gorlicks')	There were no children 's chairs or photographs , only a calendar that said : Gorlicks ' Breath Capsules : 1940 .
122219	that chilled him to his bones	that	DET	that	nsubj	something	something	(7, 12)	('something', '.')	His Mom nodded , then said something that chilled him to his bones .
122220	that meant no arguing	that	DET	that	nsubj	voice	a voice	(5, 8)	('voice', '.')	she said in a voice that meant no arguing .
122221	that seemed a thousand miles away	that	DET	that	nsubj	voice	p A tiny voice	(6, 11)	('voice', 'answered')	"<p> A tiny voice that seemed a thousand miles away answered , "" Goodbye , Stu . """
122222	who died seven years ago	who	PRON	who	nsubj	son	Oola oldest son	(10, 14)	(',', '.')	Harris went to school with Oola 's oldest son , who died seven years ago .
122223	of whom she is affectionately afraid	she	PRON	whom	pobj	father	Her father	(11, 16)	('of', 'squats')	Her father-in-law , Deacon , of whom she is affectionately afraid , squats in the hole , pointing at the meteorite .
122224	who walked again after death	who	PRON	who	nsubj	Lazarus	Lazarus	(11, 15)	('Lazarus', '-')	They knew about miracles from the Biblethe burning bush , Lazarus who walked again after death-and it got their curiosity up .
122225	that looked like they might have some therapeutic value	they	PRON	that	nsubj	brogans	heavy dark brogans	(10, 18)	('brogans', '.')	He was pigeon-toed and wearing heavy dark brogans that looked like they might have some therapeutic value .
122226	that had belonged to Lizard 's old man	that	DET	that	nsubj	chair	the crackling brown reclining chair	(10, 17)	('chair', '.')	Miracle Boy sat in the crackling brown reclining chair that had belonged to Lizard 's old man .
122227	that looked too big for him	that	DET	that	nsubj	pair	a new pair	(20, 25)	('Keds', '.')	He wore a different pair of shoes these days , a brand-new pair of coal-black Keds that looked too big for him .
122228	that are plentiful on the place	that	DET	that	nsubj	deer	the fat deer	(23, 28)	('deer', '.')	When the snow falls , Miracle Boy will go into the woods with his old man , after the corn-fat deer that are plentiful on the place .
122229	that grew there	that	DET	that	nsubj	maple	the twisted silver maple	(25, 27)	('maple', '.')	He left the house in the middle of the night , slipping out the window of his bedroom and clambering down the twisted silver maple that grew there .
122230	that served as bases	that	DET	that	nsubj	bags	the soiled bags	(3, 6)	('bags', '.')	the soiled bags that served as bases .
122231	that he held and caught the back of his hand instead , peeling skin from his knuckles	he	PRON	that	dobj	nail	the wobbling nail	(7, 23)	('nail', '.')	He whacked at the wobbling nail that he held and caught the back of his hand instead , peeling skin from his knuckles .
122232	that fixed them to the post	that	DET	that	nsubj	hardware	the tarnished hardware	(23, 28)	('hardware', ',')	Overhead , the wires crossed the disk of the moon , and the moonlight shone on the wires , on the tarnished hardware that fixed them to the post , on the ceramic insulators .
122233	that ought to be on display in a museum somewhere , with a little white card identifying them	card	NOUN	that	nsubj	something	something	(12, 29)	('something', '.')	To Lizard , they looked a million years old , like something that ought to be on display in a museum somewhere , with a little white card identifying them .
122234	with which he clung to the transformer trembled with the effort	he	PRON	which	pobj	arm	The arm	(4, 14)	('with', 'Lizard')	The arm with which he clung to the transformer trembled with the effort .
122235	that he knew	he	PRON	that	nsubj	Everything	Everything	(2, 4)	('Everything', 'was')	Everything that he knew was within the sight of his eyes .
122236	that sat on the lawn of the county courthouse	that	DET	that	nsubj	one	the one	(26, 34)	('one', '.')	HE MADE them out of wood : spinning tops and tiny saddle horses , trucks and guns , a cannon and caisson just like the one that sat on the lawn of the county courthouse .
122237	who took a deferential step back	who	PRON	who	nsubj	man	his old man	(8, 13)	(',', '.')	Miracle Boy brushed past his old man , who took a deferential step back .
122238	that follows	that	DET	that	nsubj	fantasy	the compelling entomological fantasy	(19, 20)	('fantasy', '.')	Oh my , this issue seems to be heralding winter with more darkness than lightincluding the compelling entomological fantasy that follows .
122239	which communicated an aura of medical expertise to men of Gerald 's class ( white , affluent , conservative , and , above all , coddled by a network of expensive specialists	which	DET	which	nsubj	English	the accented English	(45, 76)	('English', ')')	""" We have made great strides in bringing to term women of your age , "" he was saying , "" especially women in such superb condition as I have found you to be ... "" These words , spoken in the obscurely accented English which communicated an aura of medical expertise to men of Gerald 's class ( white , affluent , conservative , and , above all , coddled by a network of expensive specialists ) -- these words should have comforted him ."
122240	all of which now pressed in upon him in an insensate rush	all	DET	which	pobj	things	thousand other things	(18, 29)	('of', 'the')	pediatricians , or car seats , or teething , or a thousand other things , all of which now pressed in upon him in an insensate rush .
122241	which followed	which	DET	which	nsubj	conversation	the conversation	(17, 18)	('conversation', 'so')	So why , when he picked up the phone to call Julian MacGregor , should the conversation which followed so dishearten him ?
122242	who was a friend	who	PRON	who	nsubj	Conley	Lake Conley	(3, 6)	(',', '.')	Lake Conley , who was a friend .
122243	that played soundlessly over the bar	that	DET	that	nsubj	television	the flickering television	(15, 20)	('television', '.')	Lake gazed thoughtfully at him for a moment , then turned to the flickering television that played soundlessly over the bar .
122244	which opened over shining banisters into the foyer below	which	DET	which	nsubj	gallery	the gallery	(28, 36)	('gallery', '.')	And then the long haul up the flight , abandoning one shoe halfway up and another on the landing , where the risers twisted to meet the gallery which opened over shining banisters into the foyer below .
122245	which fell infinitely away behind her	which	DET	which	nsubj	stairs	the stairs	(23, 28)	('stairs', '.')	"Clasping her even tighter , Gerald drew in a faint breath of her floralscented shampoo and gazed over her head at the stairs which fell infinitely away behind her . """
122246	that followed	that	DET	that	nsubj	silence	the shocked silence	(12, 13)	('silence', 'did')	He said this without thought , and only in the shocked silence that followed
122247	that cramped her swollen feet	that	DET	that	nsubj	closet	a closet	(38, 42)	('shoes', '.')	Gerald sometimes came upon her unawares in the bedroom , standing in her robe and gazing ruefully at the mirror , or sitting on the bed , staring thoughtfully into a closet crowded with unworn clothes and shoes that cramped her swollen feet .
122248	that reflected his stare - hermetic , enigmatic , defying interpretation	that	DET	that	nsubj	brilliance	a brilliance	(8, 18)	('brilliance', '.')	They danced , they shone with a brilliance that reflected his stare-hermetic , enigmatic , defying interpretation .
