	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
17037	who had brought them to Aurora	who	PRON	who	nsubj	fairy	The fairy	(3, 8)	('fairy', 'flew')	The fairy who had brought them to Aurora flew over to them and picked them up .
17038	who wore a big top hat	who	PRON	who	nsubj	man	a man	(8, 13)	('man', ',')	He told me a story about a man who wore a big top hat , and when he took it off , there was a monkey in it .
17039	who understand ,	who	PRON	who	nsubj	p	those < p	(6, 8)	('>', '<')	But for those <p> who understand , <p> this poem wears <p>
17040	that glared down at us like we were a couple of cockroaches in need of a shoe heel	we	PRON	that	nsubj	skyscraper	a concrete skyscraper	(12, 29)	('skyscraper', '.')	he limo pulled up in front of a concrete and glass skyscraper that glared down at us like we were a couple of cockroaches in need of a shoe heel .
17041	that rose so high	that	DET	that	nsubj	elevators	elevators	(11, 14)	('elevators', 'I')	We tramped down deserted corridors and took a series of elevators that rose so high
17042	that organize my monumental output into coherent thought	that	DET	that	nsubj	pulses	the electromagnetic pulses	(8, 15)	('pulses', ',')	""" Your infernal device disrupted the electromagnetic pulses that organize my monumental output into coherent thought , "" the computer wailed ."
17043	which remained for a minute or more	which	DET	which	nsubj	pinprick	a pinprick	(21, 27)	('light', ',')	My mother switched off the set , and the black-and-white picture shrank to a pinprick of light which remained for a minute or more , unwilling to give up the ghost .
17044	"that went : """	that	DET	that	nsubj	ending	an alternative ending	(18, 21)	('ending', 'Guide')	"When the last two lines scared me too much , my mother recited for me an alternative ending that went : """
17045	who lived in the outlets	who	PRON	who	nsubj	troll	the troll	(11, 15)	('troll', ':')	, my father had told me a story about the troll who lived in the outlets : he burned the skin off the bones of little boys , making their hair sizzle and pop .
17046	who wore no clothes	who	PRON	who	nsubj	thousands	how thousands	(64, 67)	('cannibals', 'had')	He also told us stories from the Biblehow Jesus turned water into wine , the night Daniel spent with the lions , and the day the sun stood still ; he likewise told us about the missionaries in the remotest parts of the world-how they forded raging streams in Indonesia on the backs of crocodiles , how thousands of pygmies and cannibals who wore no clothes had responded to the word of God , but only after they had killed the messengers of the gospel .
17047	whose death hastened the conversions of thousands of natives	death	NOUN	whose	poss	God	God	(32, 40)	('God', '.')	Father Millerton had once served as a missionary in Dutch Guiana before ill health had forced him to resign , and his stories usually consisted of one faithful servant of God whose death hastened the conversions of thousands of natives .
17048	who wore thick - soled shoes	who	PRON	who	nsubj	man	a big man	(5, 10)	('man', ',')	He was a big man who wore thick-soled shoes , and his black clerical shirt and trousers were always dusted with the snow of his dandruff and the scattering ashes of his cigars .
17049	that would claim her	that	DET	that	nsubj	disease	the disease	(19, 22)	('disease', 'was')	The daughter , much younger than the sons , looked pinched and uncomfortable , as if the disease that would claim her was already at its deadly work .
